"CASES REPORTED UNDER IPC/BNS AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC/BNS CRIMES,,SLL CRIMES,
,,"During the month
under review
(November-2025)","During the current
Year Upto the month
under review","During the month
under review
(November -2025)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,3059,34000,1615,17494
2,Mysuru City,195,2025,78,908
3,Hubballi Dharwad City,113,1367,76,1050
4,Mangaluru City,168,2084,130,1083
5,Belagavi City,119,1507,72,619
6,Kalaburagi City,146,1594,61,903
,Central Range,,,,
1,Bengaluru Dist,513,5852,86,1110
2,Bengaluru South,290,3328,65,872
3,Tumakuru,513,5419,146,2344
4,Kolar,188,2027,34,455
5,Chickballapura,203,2343,91,1531
6,K.G.F,62,732,14,324
,Eastern Range,,,,
1,Chitradurga,316,3754,127,1566
2,Davanagere,309,3046,72,1295
3,Shivamogga,393,4449,235,1871
4,Haveri,204,2193,84,1081
,Western Range,,,,
1,Dakshina Kannada,137,1644,47,389
2,Udupi,185,2083,41,697
3,Chikkamagaluru,258,2447,166,1434
4,Uttara Kannada,182,2134,217,1445
,Northern Range,,,,
1,Belagavi Dist,448,4077,208,1878
2,Bagalkot,173,2016,66,1237
3,Vijayapur,230,2785,167,1853
4,Dharwad,78,916,37,591
5,Gadag,88,945,58,1173
,North Eastern Range,,,,
1,Kalaburagi,215,2450,98,878
2,Bidar,255,2794,91,1124
3,Yadgir,140,1461,63,883
,Southern Range,,,,
1,Mysuru Dist,381,4550,77,824
2,Mandya,423,4347,67,1028
3,Chamarajanagar,155,1902,51,792
4,Hassan,386,4372,78,1254
5,Kodagu,158,1587,32,540
,Ballari Range,,,,
1,Ballari,168,1775,121,1750
2,Koppal,143,1778,111,1141
3,Raichur,226,2588,109,1273
4,Vijayanagara,117,1658,218,1288
,Karnataka Railways,42,606,20,129
,STATE,11379,126635,5129,58107
