Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
11,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2)
BNS)",,,,
,At Residential Premises,78,90,98,78
,On Highways,0,0,0,0
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,5,2,1,5
,In Other Places,1,3,4,1
,Temple Theft,1,0,2,1
,Sub Total,85,95,105,85
,Total Burglary (Burglary Day + Burglary Night),441,411,452,441
12,"THEFT (Sec.379 to 389 IPC/303(2) TO 308(7)
BNS)",,,,
,Attempt to commit,6,6,6,6
,Of Automobiles - Of Tractors,5,11,3,5
,In Running Bus,7,8,10,7
,Of Snatching,39,48,48,39
,At ATM,1,4,2,1
,Of Sand,173,119,123,173
,Government Office,2,0,2,2
,Of Mines,10,5,8,10
,Communication And Elec. Wire,30,25,34,30
,Of Cattle,56,52,42,56
,Of Cycle,2,3,0,2
,Of Automobiles - Of Lorries/Trucks,5,9,9,5
,Of Automobiles - Of Buses,0,1,1,0
,Of Automobiles - Of Cars / Jeeps,21,19,18,21
,Of Automobiles - Of Two Wheelers,728,832,747,728
,Of Automobies - of Three Wheelers,8,28,17,8
,Of Accessories of Motor Vehicle,13,27,16,13
,Govt. Vehicle,0,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",81,93,79,81
,Of Fire Arms,0,1,0,0
,Of Explosives,0,0,0,0
,Of Cultural - Idols,0,0,0,0
,Of Cultural - Painting,0,0,0,0
,Of Cultrual - Others,18,24,19,18
,Cash,29,33,42,29
,Jewellery,103,112,123,103
,Other Items Not Included Above,160,153,177,160
,In Running Train,1,2,3,1
,Extortion,18,30,20,18
,House Theft,170,144,179,170
,Servant Theft,56,46,43,56
,Sub Total,1742,1835,1771,1742
13,"RIOTS (Sec.141 to 153 IPC/189(1) TO
189(6),191(1)TO 191(3), 190,192,195 BNS))",,,,
,Land Dispute,89,84,98,89
,Employee - Govt.,0,0,1,0
,Labour - Private Sector,1,0,1,1
,Labour - Public Sector,0,0,0,0
,Linguistic,0,0,0,0
,Political,0,0,1,0
,Regional,0,0,1,0
,Sectarian,0,0,0,0
,Students,1,0,0,1
,Tribal,0,0,0,0
,Due to Village Disputes,0,1,1,0
,Communal,1,1,0,1
,Industrial,0,0,0,0
,Caste,0,0,0,0
,Agrarian,0,0,1,0
,Others,227,168,188,227
,Sub Total,319,254,292,319
