S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,152,140,12,
2,Ballari,156,116,40,
3,Belagavi City,227,201,26,
4,Belagavi Dist,274,190,84,
5,Bengaluru City,"3,189","2,538",651,
6,Bengaluru Dist,225,61,164,
7,Bengaluru South,159,79,80,
8,Bidar,182,99,83,
9,Chamarajanagar,110,85,25,
10,Chickballapura,125,104,21,
11,Chikkamagaluru,192,124,68,
12,Chitradurga,185,94,91,
13,Coastal Security Police,55,5,50,
14,Dakshina Kannada,141,139,2,
15,Davanagere,178,93,85,
16,Dharwad,108,107,1,
17,Gadag,122,56,66,
18,Hassan,192,191,1,
19,Haveri,161,99,62,
20,Hubballi Dharwad City,213,105,108,
21,K.G.F,76,38,38,
22,Kalaburagi,199,82,117,
23,Kalaburagi City,161,79,82,
24,Karnataka Railways,94,83,11,
25,Kodagu,142,84,58,
26,Kolar,166,75,91,
27,Koppal,139,129,10,
28,Mandya,192,102,90,
29,Mangaluru City,228,130,98,
30,Mysuru City,206,99,107,
31,Mysuru Dist,165,85,80,
32,Raichur,177,141,36,
33,Shivamogga,202,195,7,
34,Tumakuru,252,91,161,
35,Udupi,144,118,26,
,,,,,
