"CASES REPORTED UNDER IPC/BNS AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC/BNS CRIMES,,SLL CRIMES,
,,"During the month
under review
(January-2026)","During the current
Year Upto the month
under review","During the month
under review
(January -2026)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2803,2803,2138,2138
2,Mysuru City,183,183,137,137
3,Hubballi Dharwad City,158,158,57,57
4,Mangaluru City,198,198,82,82
5,Belagavi City,159,159,73,73
6,Kalaburagi City,129,129,98,98
,Central Range,,,,
1,Bengaluru Dist,585,585,98,98
2,Bengaluru South,277,277,63,63
3,Tumakuru,540 540,,164,164
4,Kolar,193,193,33,33
5,Chickballapura,204,204,147,147
6,K.G.F,60,60,26,26
,Eastern Range,,,,
1,Chitradurga,408,408,103,103
2,Davanagere,289,289,185,185
3,Shivamogga,500,500,175,175
4,Haveri,212,212,54,54
,Western Range,,,,
1,Dakshina Kannada,161,161,39,39
2,Udupi,191,191,48,48
3,Chikkamagaluru,248,248,72,72
4,Uttara Kannada,221,221,177,177
,Northern Range,,,,
1,Belagavi Dist,271,271,187,187
2,Bagalkot,188,188,82,82
3,Vijayapur,355,355,144,144
4,Dharwad,92,92,36,36
5,Gadag,96,96,107,107
,North Eastern Range,,,,
1,Kalaburagi,237,237,62,62
2,Bidar,220,220,53,53
3,Yadgir,153,153,73,73
,Southern Range,,,,
1,Mysuru Dist,453,453,81,81
2,Mandya,477,477,129,129
3,Chamarajanagar,165,165,51,51
4,Hassan,426,426,166,166
5,Kodagu,149,149,124,124
,Ballari Range,,,,
1,Ballari,148,148,124,124
2,Koppal,169,169,94,94
3,Raichur,268,268,209,209
4,Vijayanagara,149,149,150,150
,Karnataka Railways,42,42,16,16
,STATE,11777,11777,5857,5857
