"Comparitive Crime Statement 17 for the Years 2024, 2025, and 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2024,,,,,,,,,,,,,2025,,,,,,,,,,,,,2026 As on 30/04/2026,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-I (IPC/BNS Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder,1202,59,22,1121,0,16,63,3,956,11,31,2,39,1208,40,21,1147,0,4,9,0,1012,79,11,1,31,368,1,5,362,0,0,0,0,75,284,0,0,
Attempt to murder,2713,149,13,2551,0,21,164,11,2248,49,20,20,18,3196,121,7,3068,0,3,36,2,2421,570,7,21,8,1248,4,6,1238,0,0,0,0,167,1070,0,1,
C.H.Not Amounting to murder,134,9,0,125,0,5,4,0,94,4,1,2,15,133,6,1,126,0,0,1,0,85,24,0,3,13,35,0,1,34,0,0,0,0,4,30,0,0,
Dacoity,150,12,4,134,0,1,1,0,117,4,10,1,0,139,3,1,135,0,0,0,0,106,27,1,1,0,47,0,0,47,0,0,0,0,4,43,0,0,
Preparation And Assembly For Dacoity,120,0,0,120,0,0,2,0,117,1,0,0,0,67,0,0,67,0,0,0,0,62,5,0,0,0,9,0,0,9,0,0,0,0,5,4,0,0,
Robbery,985,37,10,938,0,8,22,5,694,11,194,4,0,618,27,6,585,0,0,3,0,363,163,54,2,0,231,2,1,228,0,0,0,0,35,192,1,0,
Chain Snatching,619,10,7,602,0,6,12,1,411,7,163,2,0,461,8,0,453,0,2,3,1,284,113,50,0,0,130,2,0,128,0,0,0,0,17,111,0,0,
H.B.T by day,1132,41,0,1091,0,8,15,1,501,25,537,2,2,1103,22,0,1081,0,3,6,1,412,309,349,1,0,330,0,0,330,0,0,0,0,30,297,3,0,
H.B.T by night,4330,40,2,4288,0,19,45,3,1680,75,2458,5,3,3920,24,1,3895,0,7,9,1,1166,1136,1575,0,1,1252,5,0,1247,0,0,0,0,66,1148,33,0,
House theft,1927,102,8,1817,0,10,16,12,582,19,1174,3,1,1925,100,2,1823,0,1,11,9,452,362,986,1,1,654,13,1,640,0,0,0,0,51,557,32,0,
Snatching (Sec 304 BNS),236,4,5,227,0,0,2,0,99,1,125,0,0,547,4,2,541,0,1,1,1,224,98,216,0,0,148,0,1,147,0,0,0,0,18,122,7,0,
Ordinary Theft,20165,870,324,18971,0,570,295,2127,4206,133,11496,121,23,17496,631,131,16734,0,301,82,1064,4238,2548,8450,46,5,5786,73,12,5701,0,20,2,21,559,4787,307,5,
Cattle thefts,505,6,2,497,0,12,9,44,219,3,206,4,0,544,14,0,530,0,5,1,17,186,106,212,3,0,193,0,0,193,0,0,0,0,20,170,3,0,
Receiving stolen Property,2,0,0,2,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cheating,6558,1962,121,4475,0,12,29,79,2246,1291,683,128,7,5847,868,80,4899,0,55,5,21,1288,3156,326,46,2,1809,33,12,1764,0,21,1,1,70,1660,10,1,
Cr.Br.Trust,565,148,14,403,0,0,1,3,237,131,18,11,2,757,111,7,639,0,0,1,3,151,461,15,7,1,324,11,1,312,0,0,0,1,2,308,1,0,
C.C.Notes,30,0,0,30,0,0,0,0,17,4,9,0,0,30,1,1,28,0,0,0,0,13,10,5,0,0,10,0,0,10,0,0,0,0,0,10,0,0,
Sub Total - PART-I,41373,3449,532,37392,0,689,680,2289,14425,1769,17125,305,110,37993,1981,260,35752,0,382,168,1120,12464,9167,12257,132,62,12574,144,40,12390,0,41,3,23,1123,10793,397,7,
PART-II (IPC/BNS Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"304(A),IPC/ 106 BNS (Including Deaths due to
Rashness/Negligence (Sec 304(A)IPC/106
BNS)",12032,127,16,11889,0,556,637,11,8257,24,927,22,1455,11905,78,16,11811,0,242,95,2,8786,1013,614,16,1043,4201,8,2,4191,0,2,1,0,804,3317,12,1,
"279,337,338IPC/281,125(a),125(b)BNS",31406,222,14,31170,0,19490,474,336,9368,25,1281,112,84,31590,174,18,31398,0,12643,106,82,15935,1404,1131,57,40,11024,14,2,11008,0,318,3,2,3118,7530,35,1,
Rioting,3470,357,4,3109,0,23,303,48,2643,54,31,5,2,3407,270,2,3135,0,8,56,9,2411,630,13,8,0,1257,19,2,1236,0,0,0,0,146,1090,0,0,
Hurts,17143,1340,31,15772,0,199,1913,439,12673,118,314,84,32,16733,984,20,15729,1,56,356,192,13081,1790,210,35,9,6402,102,6,6294,0,2,1,5,1464,4809,10,3,
