Aadhaar e-Sign details of Chargesheet for the Month of May 2025,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,SP Railways,2,2,100.00
2,Koppal District,27,26,96.30
3,Gadag District,50,42,84.00
4,Uttara Kannada District,103,76,73.79
5,Mangalore COP,60,43,71.67
6,Dakshina Kannada District,59,42,71.19
7,Belagavi District,193,121,62.69
8,Vijayapur District,133,82,61.65
9,Chikkamagaluru District,138,84,60.87
10,Tumakuru District,346,204,58.96
11,Kalaburagi City,34,17,50.00
12,Ramanagara District,104,51,49.04
13,Haveri District,29,14,48.28
14,Mandya District,263,121,46.01
15,Ballari District,49,22,44.90
16,Bagalkot District,41,18,43.90
17,Chitradurga District,35,15,42.86
18,Yadgir District,69,29,42.03
19,Mysuru City,72,27,37.50
20,Dharwad District,51,18,35.29
21,Kalaburagi District,60,21,35.00
22,Hassan District,188,57,30.32
23,Udupi District,97,28,28.87
24,Kolar District,59,17,28.81
25,Bidar District,98,26,26.53
26,K.G.F District,56,14,25.00
27,Davanagere District,117,29,24.79
28,Hubballi Dharwad City,74,18,24.32
29,Chamarajanagar District,65,12,18.46
30,Vijayanagara District,81,11,13.58
31,Bengaluru District,176,21,11.93
32,Bengaluru City,1107,130,11.74
33,Shivamogga District,57,4,7.02
34,Raichur District,80,5,6.25
35,Belagavi City,24,1,4.17
36,KODAGU(Madikeri) District,56,2,3.57
37,Chickballapura District,177,1,0.56
38,Mysuru District,95,0,0.00
Total,,4525,1451,32.07
