S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,152,132,20,
2,Ballari,157,96,61,
3,Belagavi City,239,200,39,
4,Belagavi Dist,273,166,107,
5,Bengaluru City,"3,179","2,601",578,
6,Bengaluru Dist,224,80,144,
7,Bengaluru South,162,86,76,
8,Bidar,177,98,79,
9,Chamarajanagar,111,110,1,
10,Chickballapura,125,117,8,
11,Chikkamagaluru,188,121,67,
12,Chitradurga,186,86,100,
13,Coastal Security Police,55,14,41,
14,Dakshina Kannada,141,140,1,
15,Davanagere,179,85,94,
16,Dharwad,103,100,3,
17,Gadag,109,56,53,
18,Hassan,192,104,88,
19,Haveri,162,125,37,
20,Hubballi Dharwad City,188,86,102,
21,K.G.F,67,48,19,
22,Kalaburagi,199,80,119,
23,Kalaburagi City,161,94,67,
24,Karnataka Railways,94,81,13,
25,Kodagu,143,85,58,
26,Kolar,161,99,62,
27,Koppal,149,143,6,
28,Mandya,193,108,85,
29,Mangaluru City,215,134,81,
30,Mysuru City,206,108,98,
31,Mysuru Dist,156,82,74,
32,Raichur,180,125,55,
33,Shivamogga,203,169,34,
34,Tumakuru,252,87,165,
35,Udupi,130,119,11,
,,,,,
