Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC/305,R/W 331(1) TO 331(8),
334(2) BNS)",,,,
,At Residential Premises,90,89,84,90
,On Highways,0,0,0,0
,In Trains,0,1,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,2,2,2,2
,In Other Places,2,7,8,2
,Temple Theft,0,2,0,0
,Sub Total,94,101,94,94
,Total Burglary (Burglary Day + Burglary Night),410,516,430,410
11,"THEFT (Sec.379 to 389 IPC/303(2) TO 308(7)
BNS)",,,,
,Attempt to commit,6,5,4,6
,Of Automobiles - Of Tractors,11,5,11,11
,In Running Bus,9,0,7,9
,Of Snatching,48,0,55,48
,At ATM,4,1,3,4
,Of Sand,116,89,119,116
,Government Office,0,0,4,0
,Of Mines,4,0,2,4
,Communication And Elec. Wire,25,17,23,25
,Of Cattle,52,36,34,52
,Of Cycle,3,7,2,3
,Of Automobiles - Of Lorries/Trucks,11,7,7,11
,Of Automobiles - Of Buses,2,1,2,2
,Of Automobiles - Of Cars / Jeeps,18,19,31,18
,Of Automobiles - Of Two Wheelers,830,968,841,830
,Of Automobies - of Three Wheelers,28,18,30,28
,Of Accessories of Motor Vehicle,27,26,26,27
,Govt. Vehicle,0,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",93,123,99,93
,Of Fire Arms,1,0,1,1
,Of Explosives,0,0,0,0
,Of Cultural - Idols,0,1,2,0
,Of Cultural - Painting,1,0,1,1
,Of Cultrual - Others,26,31,22,26
,Cash,31,48,51,31
,Jewellery,111,116,148,111
,Other Items Not Included Above,159,194,157,159
,In Running Train,2,5,6,2
,Extortion,27,24,22,27
,House Theft,145,168,142,145
,Servant Theft,47,33,39,47
,Sub Total,1837,1942,1891,1837
12,"RIOTS (Sec.141 to 153 IPC/189(1) TO
189(6),191(1)TO 191(3), 190,192,195 BNS))",,,,
,Land Dispute,85,87,67,85
,Employee - Govt.,0,0,0,0
,Labour - Private Sector,0,0,0,0
,Labour - Public Sector,0,0,0,0
,Linguistic,0,1,0,0
,Political,0,0,7,0
,Regional,0,0,0,0
,Sectarian,0,0,0,0
,Students,0,3,0,0
,Tribal,0,0,0,0
,Due to Village Disputes,1,1,0,1
,Communal,1,1,0,1
,Industrial,0,0,0,0
,Caste,0,0,0,0
,Agrarian,0,0,0,0
,Others,173,208,173,173
,Sub Total,260,301,247,260
