Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs,,,,,
1,Murder,74,9,9,6
2,Rape,122,10,16,16
3,Kidnapping,133,15,12,11
4,Offences under the Protection of Civil Rights Act.,7,0,0,0
5,"Offences under the SC & ST (prevention of
Atrocities)Act 1989 (if the victim is SC)",1383,146,135,173
,Total (Item 1 to 5),1719,180,172,206
