DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF DECEMBER - 2024 (AS ON 02/01/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F
.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
1,MURDER,1,0,0,9,8,7,1,1,1,2,1,3,0,4,1,2,2,2,5,0,3,1,4,2,1,4,0,3,2,4,2,5,2,1,2,2,5,2,95
2,DACOITY,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,2,0,0,0,1,0,11
3,ROBBERY,0,0,1,0,23,2,0,0,2,0,2,1,2,1,0,1,2,2,1,0,0,2,2,1,1,0,1,1,2,0,2,0,2,1,0,0,1,0,56
3a,CHAIN SNATCHING,0,0,0,2,5,3,1,1,0,1,0,0,0,0,0,1,0,2,1,0,0,2,0,3,0,2,2,1,2,0,2,1,2,3,1,2,0,0,40
4a,BURGLARY - DAY,3,0,2,5,11,6,3,1,0,2,2,3,6,1,2,4,1,2,1,7,2,0,2,0,3,4,1,0,2,0,2,3,3,1,0,3,5,1,94
4b,BURGLARY - NIGHT,8,1,4,16,56,22,11,4,12,6,9,2,8,3,4,7,10,4,3,20,9,0,5,5,4,8,2,4,17,4,4,11,11,7,14,4,8,6,333
5,THEFT,23,18,24,42,750,120,20,14,21,14,40,10,42,15,24,27,35,21,9,27,44,54,10,25,14,28,20,23,59,55,50,41,56,25,11,14,37,28,1890
6,RIOTS,12,8,10,21,1,8,4,5,11,9,12,2,10,8,8,3,11,2,0,10,4,0,0,10,7,2,1,0,5,10,2,18,1,3,5,3,8,12,246
7,CASES OF HURT,6,14,25,23,276,42,48,29,36,44,57,22,30,13,4,72,18,9,13,26,7,1,15,30,11,54,14,19,64,30,45,57,63,15,22,13,16,17,1300
8,Spl & Local laws,119,101,24,612,1715,90,112,64,87,158,91,21,157,66,194,119,82,160,34,82,55,5,26,40,76,118,287,31,42,172,62,249,301,52,80,247,243,100,6274
9a,RAPE,0,2,3,0,14,0,0,0,1,1,1,1,2,0,3,0,0,3,0,1,1,0,0,1,1,0,2,1,0,1,2,1,1,1,0,0,4,2,50
9b,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4
10,POCSO,2,4,2,15,33,8,3,7,12,10,8,4,8,3,2,12,11,7,4,10,2,0,2,4,5,11,8,2,8,3,9,20,15,7,3,8,4,3,279
