"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(September -2024)","During the current
Year Upto the month
under review","During the month
under review
(September-2024)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2711,26565,2004,17932
2,Mysuru City,195,1956,28,512
3,Hubballi Dharwad City,150,1318,60,808
4,Mangaluru City,148,1550,132,1151
5,Belagavi City,120,1285,28,307
6,Kalaburagi City,147,1276,50,447
,Central Range,,,,
1,Bengaluru Dist,655,5833,118,1388
2,Ramanagara,279,3048,63,671
3,Tumakuru,470,4791,95,1400
4,Kolar,169,1690,28,385
5,Chickballapura,204,2053,97,925
6,K.G.F,61,598,14,270
,Eastern Range,,,,
1,Chitradurga,363,3364,107,1087
2,Davanagere,243,2362,62,976
3,Shivamogga,329,3368,139,1360
4,Haveri,183,1858,67,787
,Western Range,,,,
1,Dakshina Kannada,111,1396,23,274
2,Udupi,207,2025,49,542
3,Chikkamagaluru,209,1982,60,736
4,Uttara Kannada,191,1916,107,690
,Northern Range,,,,
1,Belagavi Dist,328,3305,74,859
2,Bagalkot,175,1605,57,668
3,Vijayapur,189,2156,79,842
4,Dharwad,75,801,43,387
5,Gadag,59,771,24,547
,North Eastern Range,,,,
1,Kalaburagi,174,1918,77,719
2,Bidar,228,2236,59,640
3,Yadgir,85,1175,107,653
,Southern Range,,,,
1,Mysuru Dist,410,3598,46,640
2,Mandya,420,3292,73,919
3,Chamarajanagar,168,1480,82,566
4,Hassan,412,3884,83,893
5,Kodagu,92,1049,31,404
,Ballari Range,,,,
1,Ballari,152,1548,94,1012
2,Koppal,128,1288,73,766
3,Raichur,225,2051,75,1085
4,Vijayanagara,120,1267,26,697
,Karnataka Railways,71,670,4,77
,STATE,10656,104328,4438,45022
