DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF SEPTEMBER - 2023 (AS ON 06/10/2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"B
a
g
a
lk
o
t","B
a
lla
ri","B
e
la
g
a
v
i
C
ity","B
e
la
g
a
v
i
D
ist","B
e
n
g
a
lu
ru
city","B
e
n
g
a
lu
ru
D
istrict","B
id
a
r","C
h
a
m
a
ra
ja
n
a
g
a
r","C
h
ick
b
a
lla
p
u
ra","C
h
ik
k
a
m
a
g
a
lu
ru","C
h
itra
d
u
rg
a","D
a
k
sh
in
a
k
a
n
n
a
d
a","D
a
v
a
n
a
g
e
re","D
h
a
rw
a
d","G
a
d
a
g","H
a
ssa
n","H
a
v
e
ri","H
u
b
b
a
lli
D
h
a
rw
a
d
C
ity","K
.G
.F","K
a
la
b
u
ra
g
i","K
a
la
b
u
ra
g
i
C
ity","K
a
rn
a
ta
k
a
R
a
ilw
a
y
s","K
o
d
a
g
u","K
o
la
r","K
o
p
p
a
l","M
a
n
d
y
a","M
a
n
g
a
lo
o
ru
C
ity","M
y
su
ru
C
ity","M
y
su
ru
D
istrict","R
a
ich
u
r","R
a
m
a
n
a
g
a
ra","S
h
iv
a
m
o
g
g
a","T
u
m
a
k
u
ru","U
d
u
p
i","U
tta
ra
k
a
n
n
a
d
a","V
ija
y
a
n
a
g
a
ra","V
ija
y
a
p
u
r","Y
a
d
g
ir","T
o
ta
l"
1,MURDER,3,2,0,9,21,2,1,3,4,1,1,0,0,0,0,0,0,2,0,3,0,0,4,4,3,4,0,1,3,3,2,1,1,1,3,0,7,1,90
2,DACOITY,3,0,1,3,3,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,20
3,ROBBERY,0,0,1,3,60,7,1,1,1,0,1,1,3,0,0,3,2,1,1,1,2,2,0,2,1,2,0,2,5,0,2,1,6,1,1,2,0,0,116
3a,CHAIN SNATCHING,1,2,0,0,10,1,1,0,1,1,2,0,3,0,1,2,0,1,0,0,2,1,0,1,0,2,1,2,2,0,5,4,1,2,4,0,0,1,54
4a,BURGLARY - DAY,5,1,1,4,17,7,1,0,1,1,1,2,1,2,2,3,3,3,2,1,3,0,6,2,0,4,4,1,4,1,2,0,7,3,1,1,4,0,101
4b,BURGLARY - NIGHT,9,4,5,10,87,30,19,6,14,6,8,9,21,1,4,14,8,8,1,6,13,0,9,6,3,15,6,6,15,1,9,17,18,3,4,6,7,1,409
5,THEFT,28,57,12,50,978,170,25,14,34,23,30,10,38,10,20,47,50,24,7,34,28,63,13,26,27,43,20,38,34,40,38,26,73,25,16,31,27,19,2248
6,RIOTS,6,12,4,21,17,11,10,9,20,7,22,4,16,3,6,5,26,5,0,16,6,0,1,17,5,3,1,2,13,15,3,18,5,1,11,0,9,2,332
7,CASES OF HURT,11,16,8,32,400,68,37,47,45,52,52,14,33,16,12,77,24,16,20,17,11,1,25,28,10,57,16,36,104,15,48,61,67,13,26,10,33,15,1573
8,Spl & Local laws,116,130,43,94,2661,201,109,41,110,120,135,35,128,65,49,93,79,80,40,86,64,4,70,45,70,61,84,67,67,133,83,113,134,89,92,121,161,77,5950
9a,RAPE,1,2,0,3,14,0,0,1,2,0,1,0,2,0,1,2,1,2,0,3,0,0,0,0,0,0,2,0,0,1,1,2,3,1,2,1,1,2,51
9b,DOWRY DEATHS,1,0,0,0,3,1,0,0,3,0,2,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,22
10,POCSO,6,9,0,8,39,10,4,5,11,14,7,3,4,6,4,17,7,4,2,4,1,0,8,5,2,6,3,4,8,3,8,16,14,6,6,5,6,4,269
11,SC ST & POA Act,6,2,1,5,29,9,5,2,11,6,4,8,7,3,4,5,4,1,2,3,4,0,5,8,0,5,1,4,5,7,8,10,6,5,5,1,10,1,202
12a,107 Cr.P.C.,113,69,39,205,21,46,111,104,21,233,41,99,152,61,144,33,21,19,9,86,43,0,167,8,224,40,43,6,154,177,35,90,44,38,115,231,60,27,3129
12b,109 Cr.P.C.,14,2,12,6,71,2,27,0,2,2,3,1,6,4,3,9,6,7,1,4,5,12,0,2,5,5,0,2,7,4,9,7,22,1,1,6,5,0,275
12c,110 Cr.P.C.,15,0,10,12,262,4,15,11,1,11,31,99,1,4,0,141,0,42,12,8,10,1,1,0,6,12,8,65,2,3,71,1,55,193,6,320,50,3,1486
13,CYBER CRIME,4,8,6,6,1614,76,7,5,35,11,5,2,2,2,2,13,10,38,11,5,6,0,16,5,1,2,19,22,5,3,23,3,21,15,6,1,11,0,2021
14a,Cr. Br. of Trust,1,0,0,0,15,4,3,1,0,1,0,0,1,0,0,2,4,0,0,1,0,0,1,1,1,1,2,6,2,2,0,0,1,0,1,0,0,0,51
14b,CHEATING,9,11,5,5,297,44,2,1,5,4,5,6,8,4,6,7,6,11,1,7,7,0,5,13,4,6,19,12,4,9,6,13,22,34,10,5,10,2,625
14c,COUNTERFEITING,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
15a,MMDR,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,16
16,"Motor vehicles
Theft Cases",13,43,9,34,512,119,12,7,17,11,6,2,12,2,12,33,26,13,4,11,23,2,4,13,10,23,11,20,13,17,19,10,45,5,6,10,14,11,1154
17,NDPS Cases,2,3,1,2,243,56,0,3,3,14,3,7,12,1,0,11,0,7,5,1,0,3,12,1,1,0,42,7,3,0,3,15,12,24,8,1,1,0,507
