Aadhaar e-Sign details of Chargesheet for the Month of August 2025,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Dharwad District,60,54,90.00
2,Koppal District,89,79,88.76
3,Chikkamagaluru District,198,150,75.76
4,Mangalore COP,87,61,70.11
5,Vijayapur District,260,176,67.69
6,Uttara Kannada District,148,91,61.49
7,Mysuru City,160,88,55.00
8,SP Railways,2,1,50.00
9,Mandya District,252,125,49.60
10,Dakshina Kannada District,31,15,48.39
11,Chitradurga District,83,34,40.96
12,Kalaburagi City,79,29,36.71
13,Yadgir District,97,35,36.08
14,Belagavi District,204,71,34.80
15,Bagalkot District,49,17,34.69
16,Gadag District,146,50,34.25
17,Udupi District,93,30,32.26
18,Bengaluru South District,164,42,25.61
19,K.G.F District,47,12,25.53
20,Tumakuru District,224,53,23.66
21,Raichur District,111,23,20.72
22,Kalaburagi District,114,22,19.30
23,Bengaluru City,1787,311,17.40
24,Vijayanagara District,54,8,14.81
25,Haveri District,56,8,14.29
26,Chamarajanagar District,120,15,12.50
27,Hubballi Dharwad City,64,8,12.50
28,Belagavi City,52,6,11.54
29,Bengaluru District,185,21,11.35
30,Ballari District,78,8,10.26
31,Hassan District,195,14,7.18
32,Kolar District,63,4,6.35
33,Davanagere District,151,6,3.97
34,Shivamogga District,190,2,1.05
35,Bidar District,98,1,1.02
36,Chickballapura District,167,0,0.00
37,KODAGU(Madikeri) District,62,0,0.00
38,Mysuru District,264,0,0.00
Total,,6284,1670,26.58
