"CASES REPORTED UNDER IPC/BNS AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC/BNS CRIMES,,SLL CRIMES,
,,"During the month
under review
(July-2025)","During the current
Year Upto the month
under review","During the month
under review
(July -2025)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2898,20194,1503,11193
2,Mysuru City,177,1257,208,479
3,Hubballi Dharwad City,112,903,49,779
4,Mangaluru City,167,1311,109,716
5,Belagavi City,132,977,79,363
6,Kalaburagi City,133,1022,83,685
,Central Range,,,,
1,Bengaluru Dist,545,3750,81,769
2,Bengaluru South,309,2116,66,564
3,Tumakuru,472,3431,184,1717
4,Kolar,178,1236,39,307
5,Chickballapura,241,1526,131,1122
6,K.G.F,65,453,38,221
,Eastern Range,,,,
1,Chitradurga,367,2412,127,1111
2,Davanagere,269,1950,132,925
3,Shivamogga,331,2913,138,1249
4,Haveri,150,1417,88,672
,Western Range,,,,
1,Dakshina Kannada,147,1011,35,201
2,Udupi,128,1378,92,442
3,Chikkamagaluru,199,1571,107,719
4,Uttara Kannada,186,1405,162,732
,Northern Range,,,,
1,Belagavi Dist,323,2568,143,1124
2,Bagalkot,197,1305,143,721
3,Vijayapur,229,1842,126,1250
4,Dharwad,58,599,59,330
5,Gadag,105,606,147,718
,North Eastern Range,,,,
1,Kalaburagi,230,1628,77,545
2,Bidar,270,1921,73,761
3,Yadgir,139,964,91,613
,Southern Range,,,,
1,Mysuru Dist,350,3006,78,548
2,Mandya,402,2643,77,702
3,Chamarajanagar,169,1222,68,562
4,Hassan,350,2854,110,935
5,Kodagu,132,1001,52,394
,Ballari Range,,,,
1,Ballari,178,1106,169,1099
2,Koppal,168,1157,137,710
3,Raichur,257,1769,119,851
4,Vijayanagara,127,1137,94,739
,Karnataka Railways,58,103,15,61
,STATE,10948,79664,5229,37629
