S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,154,108,46,
2,Ballari,156,152,4,
3,Belagavi City,228,145,83,
4,Belagavi Dist,276,204,72,
5,Bengaluru City,"3,205","1,020",2185,
6,Bengaluru Dist,241,107,134,
7,Bidar,192,85,107,
8,Chamarajanagar,121,79,42,
9,Chickballapura,132,123,9,
10,Chikkamagaluru,193,102,91,
11,Chitradurga,192,60,132,
12,Coastal Security Police,56,13,43,
13,Dakshina Kannada,162,107,55,
14,Davanagere,200,83,117,
15,Dharwad,112,106,6,
16,Gadag,179,44,135,
17,Hassan,196,50,146,
18,Haveri,164,80,84,
19,Hubballi Dharwad City,247,97,150,
20,K.G.F,83,47,36,
21,Kalaburagi,214,55,159,
22,Kalaburagi City,185,52,133,
23,Karnataka Railways,98,52,46,
24,Kodagu,148,73,75,
25,Kolar,171,67,104,
26,Koppal,156,138,18,
27,Mandya,215,100,115,
28,Mangaluru City,249,68,181,
29,Mysuru City,248,104,144,
30,Mysuru Dist,191,103,88,
31,Raichur,176,135,41,
32,Ramanagara,177,62,115,
33,Shivamogga,207,151,56,
34,Tumakuru,289,99,190,
35,Udupi,144,103,41,
,,,,,
