DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF FEBRUARY - 2025 (AS ON 01/03/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
1,MURDER,1,2,2,8,21,9,3,2,5,4,4,0,0,2,0,2,2,0,1,5,1,5,0,0,1,2,0,3,1,2,4,1,0,0,1,1,5,1,101
2,DACOITY,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,11
3,ROBBERY,0,0,0,0,18,2,1,0,1,1,2,0,1,1,1,2,0,2,0,0,0,2,0,0,0,1,0,1,1,0,4,1,2,0,0,1,1,0,46
3a,CHAIN SNATCHING,1,0,0,2,1,4,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,3,0,3,0,2,0,1,1,0,2,3,2,1,0,0,1,0,33
4a,BURGLARY - DAY,1,0,1,3,11,0,3,1,2,0,0,0,1,0,3,5,0,1,0,0,2,0,2,3,6,4,1,1,1,2,2,10,1,1,2,2,1,0,73
4b,BURGLARY - NIGHT,7,0,8,8,40,17,5,6,4,9,3,3,29,2,6,16,20,3,2,6,5,0,2,4,4,11,1,5,20,7,7,14,15,4,4,9,1,5,312
5,THEFT,20,22,19,31,636,111,29,14,23,9,27,8,34,9,13,34,38,15,8,22,22,38,7,21,17,21,36,18,17,42,46,48,58,39,26,18,30,18,1644
6,RIOTS,10,13,1,17,8,13,8,3,9,3,9,2,17,1,5,4,15,1,3,12,4,0,1,10,6,0,2,1,15,11,3,20,1,7,1,6,10,19,271
7,CASES OF HURT,10,9,16,32,260,40,61,30,33,40,49,10,30,2,2,48,12,6,9,29,26,2,16,24,7,62,11,19,72,18,30,51,46,18,25,8,23,16,1202
8,Spl & Local laws,75,127,53,86,1311,97,52,58,106,92,91,22,111,27,35,91,77,42,21,65,65,5,55,38,85,77,126,40,59,95,83,137,278,37,66,83,145,75,4188
9a,"RAPE (Sec.376,
376(A) to 376
(D) IPC/64 TO
71 BNS)",0,1,6,1,24,4,3,1,1,0,2,1,2,0,0,0,0,0,0,4,2,0,2,1,1,0,1,3,1,2,5,1,1,2,1,0,2,2,77
9b,DOWRY DEATHS,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,9
10,POCSO,5,3,3,11,36,9,3,7,14,7,6,6,5,2,4,11,9,6,2,9,4,0,6,8,7,8,5,3,10,4,6,11,8,1,4,3,14,4,264
11,SC ST & POA Act,5,2,3,8,15,8,3,5,5,6,4,0,4,3,6,9,6,1,0,4,1,0,2,2,5,5,5,5,2,6,4,13,7,6,1,1,10,11,183
12a,107 Cr.P.C.,34,33,103,74,29,13,55,7,12,25,35,17,23,40,99,44,20,12,7,24,78,0,27,14,77,10,44,2,21,42,13,52,121,47,42,25,46,25,1392
12b,109 Cr.P.C.,12,7,7,3,75,13,6,0,9,22,5,1,11,6,5,14,6,141,2,3,6,11,1,8,8,5,0,1,2,7,4,2,130,0,6,25,70,9,643
12c,110 Cr.P.C.,8,1,5,14,281,45,7,2,8,1,1,19,1,5,17,176,6,11,4,4,9,0,2,37,2,1,16,20,0,8,32,0,151,49,6,55,30,3,1037
13,"CYBER CRIME
(INFORMATION
TECHNOLOGY ACT)",4,6,5,1,899,42,2,1,7,5,6,9,10,2,1,8,7,4,6,5,10,2,5,4,3,5,6,14,1,2,16,5,20,7,6,3,31,3,1173
14a,Cr. Br. of Trust,1,1,2,4,24,2,0,0,0,2,0,0,4,0,2,1,1,1,0,0,0,1,0,3,0,0,2,0,2,0,0,0,3,3,0,0,0,1,60
14b,CHEATING,4,6,11,4,196,38,1,7,8,6,9,3,6,2,4,9,7,5,2,6,7,1,2,5,1,14,8,4,9,6,9,15,12,9,2,5,10,4,457
14c,COUNTERFEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3
15a,MMDR,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
16,"Motor vehicles
Theft Cases",14,6,11,17,347,63,15,6,10,4,8,3,15,7,4,13,16,3,4,1,16,3,1,12,3,8,4,13,5,9,21,22,20,7,6,5,14,2,738
17,NDPS Cases,1,4,3,0,42,9,3,6,6,19,5,3,31,1,10,10,1,1,4,5,16,4,13,8,0,5,82,2,5,2,12,54,23,5,4,9,7,0,415
