DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF JANUARY - 2024 (AS ON 08/02/2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
g
a
B","ari
all
B","y
Cit
vi
a
g
a
el
B","Dist
vi
a
g
a
el
B","y
cit
u
ur
al
g
n
e
B","District
u
ur
al
g
n
e
B","ar
d
Bi","ar
g
a
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
g
a
m
a
k
k
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
g
a
n
a
v
a
D","d
a
w
ar
h
D","g
a
d
a
G","n
a
ass
H","eri
v
a
H","y
Cit
d
a
w
ar
h
D
alli
b
b
u
H","F
G.
K.","gi
a
ur
b
a
al
K","y
Cit
gi
a
ur
b
a
al
K","ys
a
w
ail
R
a
k
a
at
n
ar
K","u
g
a
d
o
K","ar
ol
K","al
p
p
o
K","a
y
d
n
a
M","y
Cit
u
or
o
al
g
n
a
M","y
Cit
u
ur
ys
M","District
u
ur
ys
M","ur
h
aic
R","a
ar
g
a
n
a
m
a
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
g
a
n
a
y
a
Vij","ur
p
a
y
a
Vij","gir
d
a
Y","al
ot
T"
1,MURDER,2,1,1,4,12,3,1,0,1,5,5,0,3,0,0,4,2,1,1,3,0,1,0,0,0,4,2,1,7,1,7,2,4,0,1,0,2,0,81
2,DACOITY,1,0,0,0,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,2,0,1,0,18
3,ROBBERY,1,1,1,1,83,5,2,0,1,1,0,1,3,3,0,1,1,0,0,1,3,1,0,1,0,0,2,2,4,0,1,2,4,0,0,0,0,0,126
3a,CHAIN SNATCHING,0,0,1,0,11,5,0,3,3,1,0,1,4,0,0,0,0,1,0,0,0,1,1,5,0,1,0,2,0,0,2,0,6,1,0,0,1,0,50
4a,BURGLARY - DAY,2,1,4,2,14,13,0,1,2,3,0,0,2,1,1,7,1,2,1,2,2,1,2,4,4,3,1,0,2,0,3,4,8,5,0,1,2,5,106
4b,BURGLARY - NIGHT,4,8,16,10,65,24,13,12,9,4,17,4,11,4,6,13,9,7,7,7,5,0,4,9,8,16,1,11,21,6,8,13,27,8,5,3,11,2,408
5,THEFT,23,30,18,23,862,130,28,9,21,31,33,18,28,11,22,34,41,22,7,35,19,63,13,18,23,30,16,23,27,24,39,29,77,32,20,18,33,13,1943
6,RIOTS,7,3,2,17,13,10,7,3,3,6,14,3,20,4,0,11,32,5,0,19,4,0,1,12,2,4,1,2,20,14,5,14,3,3,8,7,9,11,299
7,CASES OF HURT,7,19,18,50,290,52,49,34,34,42,60,22,22,9,4,68,30,16,10,32,13,1,22,26,14,48,12,27,63,12,43,62,63,19,36,3,26,11,1369
8,Spl & Local laws,84,113,31,109,1865,149,74,40,103,77,101,28,86,48,44,87,70,60,24,84,50,5,47,40,70,96,150,73,79,145,68,123,127,53,67,72,89,39,4670
9a,RAPE,0,0,1,0,12,1,1,1,2,0,0,0,0,0,0,2,2,0,2,1,1,0,1,0,0,0,1,2,1,2,0,2,2,2,0,3,5,3,50
9b,DOWRY DEATHS,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6
10,POCSO,6,6,2,8,36,10,0,8,18,7,11,8,10,6,0,11,10,1,3,4,1,1,5,8,5,11,4,6,15,4,14,18,19,3,8,1,4,3,295
11,SC ST & POA Act,7,5,1,7,20,12,4,2,6,8,5,4,4,5,5,14,5,5,0,4,5,0,6,6,3,7,2,2,4,10,6,10,6,3,5,3,3,2,206
12a,107 Cr.P.C.,62,56,37,104,20,35,72,38,26,41,23,8,22,21,29,29,58,8,15,32,33,0,32,28,41,18,93,0,122,7,74,75,66,29,27,74,194,41,1690
12b,109 Cr.P.C.,33,14,25,12,25,146,19,1,63,3,15,2,32,6,9,26,14,6,1,2,4,19,2,13,18,11,2,2,14,5,41,6,25,2,6,23,29,7,683
12c,110 Cr.P.C.,14,1,15,14,114,71,2,0,93,2,1,5,29,3,2,53,22,22,72,7,9,0,0,0,3,32,41,91,165,8,195,2,39,7,26,51,47,9,1267
13,CYBER CRIME,5,11,11,9,1510,93,1,2,22,6,9,3,11,2,7,10,8,22,12,1,6,0,9,5,2,7,12,30,2,3,9,9,20,21,11,0,2,0,1903
14a,Cr. Br. of Trust,0,1,0,0,20,3,0,1,0,0,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,3,0,1,1,0,0,46
14b,CHEATING,10,7,13,12,313,49,6,1,5,5,6,6,8,1,4,12,5,5,2,0,9,1,12,2,6,7,12,11,11,2,6,14,32,18,8,4,4,1,630
14c,COUNTERFEITING,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
15,KMMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,6
15a,MMDR,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,15
16,"Motor vehicles
Theft Cases",14,8,12,15,512,77,14,3,13,11,15,0,17,6,10,18,20,16,4,6,12,4,3,9,8,16,4,15,19,8,25,17,46,9,8,3,15,6,1018
17,NDPS Cases,4,3,0,2,38,5,0,6,0,15,4,2,3,1,2,11,0,5,0,2,1,3,8,5,0,1,111,2,3,1,4,20,3,8,5,1,1,0,280
