Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
11,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2)
BNS)",,,,
,At Residential Premises,158,66,77,81
,On Highways,0,0,0,0
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,10,2,6,4
,In Other Places,5,2,2,3
,Temple Theft,2,2,1,1
,Sub Total,175,72,86,89
,Total Burglary (Burglary Day + Burglary Night),821,388,441,380
12,"THEFT (Sec.379 to 389 IPC/303(2) TO 308(7)
BNS)",,,,
,Attempt to commit,12,4,6,6
,Of Automobiles - Of Tractors,8,7,4,4
,In Running Bus,18,12,7,11
,Of Snatching,81,27,39,42
,At ATM,6,1,0,6
,Of Sand,346,119,174,172
,Government Office,5,2,2,3
,Of Mines,16,7,11,5
,Communication And Elec. Wire,58,27,29,29
,Of Cattle,96,38,56,40
,Of Cycle,3,7,2,1
,Of Automobiles - Of Lorries/Trucks,11,7,4,7
,Of Automobiles - Of Buses,1,0,0,1
,Of Automobiles - Of Cars / Jeeps,33,23,21,12
,Of Automobiles - Of Two Wheelers,1377,681,729,648
,Of Automobies - of Three Wheelers,19,21,8,11
,Of Accessories of Motor Vehicle,26,24,14,12
,Govt. Vehicle,0,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",152,66,82,70
,Of Fire Arms,0,0,0,0
,Of Explosives,0,0,0,0
,Of Cultural - Idols,1,0,0,1
,Of Cultural - Painting,0,0,0,0
,Of Cultrual - Others,36,15,17,19
,Cash,66,49,29,37
,Jewellery,218,169,102,116
,Other Items Not Included Above,301,140,155,146
,In Running Train,2,6,1,1
,Extortion,35,25,18,17
,House Theft,343,136,177,166
,Servant Theft,112,23,58,54
,Sub Total,3382,1636,1745,1637
13,"RIOTS (Sec.141 to 153 IPC/189(1) TO
189(6),191(1)TO 191(3), 190,192,195 BNS))",,,,
,Land Dispute,150,69,89,61
,Employee - Govt.,0,0,0,0
,Labour - Private Sector,1,0,1,0
,Labour - Public Sector,0,0,0,0
,Linguistic,0,0,0,0
,Political,1,0,0,1
,Regional,1,0,0,1
,Sectarian,0,0,0,0
,Students,1,0,1,0
,Tribal,0,0,0,0
,Due to Village Disputes,0,0,0,0
,Communal,3,0,1,2
,Industrial,1,0,0,1
,Caste,0,1,0,0
,Agrarian,0,0,0,0
,Others,428,203,226,202
,Sub Total,586,273,318,268
