Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,696,89,121,112
,On Highways,1,0,0,0
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,28,5,4,2
,In Other Places,49,8,10,16
,Temple Theft,24,2,2,6
,Sub Total,798,104,137,136
,Total Burglary (Burglary Day + Burglary Night),3926,525,606,637
11,THEFT (Sec.379 to 389 IPC),,,,
,Of sand,869,57,111,143
,Attempt to commit,38,2,6,6
,At ATM,6,1,1,2
,Of Automobiles - Of Tractors,117,15,10,15
,Communication And Elec. Wire,173,20,23,34
,Of Cattle,271,35,52,66
,Of Cycle,85,13,20,20
,Of Automobiles - Of Lorries/Trucks,104,9,16,18
,Of Automobiles - Of Buses,6,1,0,0
,Of Automobiles - Of Cars / Jeeps,189,23,38,33
,Of Automobiles - Of Two Wheelers,8123,1007,1365,1391
,Of Automobies - of Three Wheelers,198,22,35,48
,Of Accessories of Motor Vehicle,162,30,27,28
,Govt. Vehicle,0,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",1217,200,255,245
,Of Fire Arms,5,0,0,0
,Of Explosives,2,0,0,1
,Of Cultural - Idols,4,2,0,1
,Of Cultural - Painting,2,0,0,1
,Of Cultrual - Others,179,18,26,41
,Cash,453,40,79,82
,Jewellery,918,78,149,143
,Other Items Not Included Above,1283,127,254,265
,In Running Train,38,4,2,1
,Extortion,149,15,30,20
,House Theft,1380,120,229,214
,Servant Theft,281,22,48,52
,Sub Total,16252,1861,2776,2870
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,759,74,113,87
,Employee - Govt.,1,0,0,0
,Labour - Private Sector,2,1,0,0
,Labour - Public Sector,2,0,1,0
,Linguistic,2,0,0,0
,Political,67,6,3,3
,Regional,3,0,0,0
,Sectarian,0,0,0,0
,Students,2,1,0,0
,Tribal,1,0,0,0
,Due to Village Disputes,12,2,1,1
,Communal,4,2,1,0
,Industrial,4,0,0,1
,Caste,5,0,0,1
,Agrarian,2,0,0,0
,Others,1737,191,196,240
,Sub Total,2603,277,315,333
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",55,9,3,18
15,CRIMINAL BREACH OF TRUST,319,37,55,39
