Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,"Information Technology Act 2000, 2009",3908,1372,1904,2004
,Sub Total,3908,1372,1904,2004
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,0,0,0,0
,Gang Rape,1,0,1,0
,Rape with Murder,0,0,0,0
,Rape,449,165,251,198
,Others,151,75,71,80
,Sub Total,601,240,323,278
,Total (Item 1 to 36),9444,4093,4702,4742
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,1,0,1,0
,1.2 Gang Rape,2,1,2,0
,1.3 other Cases of Rape,88,53,48,40
,Sub Total,91,54,51,40
2,Outraging modesty (Molestation) (sec.354 IPC),1069,440,524,545
3,Kidnapping & Abduction of Women: (Sec.366 IPC),20,10,10,10
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC
if victim is a woman)",14,7,5,9
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",1,0,1,0
7,Murder for other reasons,64,33,30,34
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",0,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",0,2,0,0
10,Attempt to Commit murder for other reasons,127,57,63,64
11,"Dowry Death-by burning
(Sec.304-B IPC)",0,0,0,0
12,Dowry Death-by other Means (Sec.304(B) IPC),19,9,6,13
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",529,211,235,294
14,Abetment of Suicide (Sec.306 IPC),23,15,11,12
15,Immoral Traffic (prevention) Act.,60,20,32,28
16,"Indecent Representation of Women(Prohibition) Act-
1986",0,0,0,0
17,Pornography,0,0,0,0
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",18,9,9,9
19,Offences related to Marriage,7,3,4,3
20,Cyber Crimes,1185,555,613,572
,Total (Item 1 to 20),3227,1425,1594,1633
