Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",0,0,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),44,6,5,2
4,Kidnapping & Abduction of Children,2542,243,344,353
4.1,For Ransom - of Children,4,2,0,1
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,1,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,1,1,0,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,7,1,0,1
,Sub Total,2555,247,344,355
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,111,15,7,14
7,POCSO Act,2708,266,377,269
8,Death of Children due to miscarriage,8,4,1,2
9,Juvenile Justice Act,79,12,6,21
10,Child Labour (Pro.& Reg.) Act,105,2,5,22
11,Probation of Offenders Act,1,0,0,0
,Total (Item 1 to 11),5611,552,745,685
