Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,262,65,73,59
,On Highways,1,0,1,0
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,15,4,5,5
,In Other Places,14,6,1,3
,Temple Theft,11,1,4,2
,Sub Total,303,76,84,69
,Total Burglary (Burglary Day + Burglary Night),1615,428,386,335
11,THEFT (Sec.379 to 389 IPC),,,,
,Of sand,336,121,80,86
,Attempt to commit,13,2,2,1
,At ATM,3,0,2,1
,Of Automobiles - Of Tractors,50,7,19,16
,Communication And Elec. Wire,76,17,26,9
,Of Cattle,91,36,22,14
,Of Cycle,34,6,9,7
,Of Automobiles - Of Lorries/Trucks,44,8,9,10
,Of Automobiles - Of Buses,4,1,1,0
,Of Automobiles - Of Cars / Jeeps,73,21,21,14
,Of Automobiles - Of Two Wheelers,3295,881,843,826
,Of Automobies - of Three Wheelers,79,32,13,11
,Of Accessories of Motor Vehicle,76,27,14,25
,Govt. Vehicle,0,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",453,135,121,101
,Of Fire Arms,5,1,0,5
,Of Explosives,1,0,0,0
,Of Cultural - Idols,1,1,0,1
,Of Cultural - Painting,1,0,0,0
,Of Cultrual - Others,77,17,20,10
,Cash,165,37,40,41
,Jewellery,398,64,94,95
,Other Items Not Included Above,501,156,145,96
,In Running Train,24,3,7,12
,Extortion,55,11,11,10
,House Theft,514,87,118,140
,Servant Theft,116,33,39,29
,Sub Total,6485,1704,1656,1560
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,345,114,85,78
,Employee - Govt.,0,0,0,0
,Labour - Private Sector,2,2,1,0
,Labour - Public Sector,1,0,1,0
,Linguistic,2,0,0,1
,Political,21,6,4,12
,Regional,1,0,1,0
,Sectarian,0,0,0,0
,Students,1,0,0,0
,Tribal,1,0,0,1
,Due to Village Disputes,6,1,0,2
,Communal,0,3,0,0
,Industrial,2,0,0,0
,Caste,4,1,1,1
,Agrarian,2,0,0,1
,Others,814,291,242,197
,Sub Total,1202,418,335,293
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",14,6,1,7
15,CRIMINAL BREACH OF TRUST,153,38,40,37
