Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Sub Total,389,43,48,51
6,"KIDNAPPING AND ABDUCTION (Sec.360, 361,
363 to 369 IPC)",,,,
,Missing - Boy,563,60,94,87
,Missing - Girl,1433,108,201,233
,For Ransom - of Children,5,2,1,1
,For Ransom - of Cildren for Begging,0,0,0,0
,For Ransom - of Women,3,1,1,0
,For Ransom - of Girls for Immoral Purpose,1,0,0,0
,For Ransom - of Others,35,5,6,8
,Procuration of Minor Girls - For Prostitution,0,0,0,0
,Procuration of Minor Girls - Importring of Girl,1,0,0,0
,Procuration of Minor Girls - For other Purpose,6,0,0,0
,Espionage,0,0,0,0
,Intent to Steal From Child,0,0,0,0
,Murder (Homicide),0,1,0,0
,Obtain Signature Forcibly,0,0,0,0
,Recovering Loan,1,0,0,1
,Settling any Disputes,8,0,2,0
,Unnatural Lust / Illicit Intercourse,0,0,0,0
,Wrongful Confinement,5,1,0,2
,For Exporting,0,0,0,0
,From Lawful Guardianship,1,0,0,0
,For Camel Racing Etc.,0,0,0,0
,To Compel For Marriage,14,2,0,2
,For Slavery,0,0,0,0
,For Stealing From its Person,0,0,0,0
,Others,379,46,60,66
,Sub Total,2455,226,365,400
7,DACOITY (Sec. 395 to 398 IPC ),,,,
,At ATM,0,0,0,0
,At Residential Premises,14,1,0,1
,On Highways,24,3,9,5
,In Trains,1,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,5,1,0,0
,On Other Roads,30,4,1,5
,In Other Places,38,4,3,5
,River & Sea,0,0,0,0
,Sub Total,112,13,13,16
7a,Preparation And Assembly for Dacoity,90,28,12,14
8,Robbery (Sec.392 to 394 IPC),,,,
,At ATM,0,0,0,0
,At Residential Premises,130,17,24,24
,On Highways,65,7,18,10
,In Trains,3,4,0,2
,At Banks,2,0,0,1
,At Commercial Places / Establishments,66,8,9,19
,In Other Places,511,63,107,94
,Chain Snatching,396,61,48,42
,Attempt to Commit,42,6,6,5
,Sub Total,1215,166,212,197
9,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,1788,225,234,251
,On Highways,2,0,0,1
,In Trains,0,0,0,0
,At Banks,37,6,6,7
,At Commercial Places / Establishments,582,91,106,113
,In Other Places,462,68,81,86
,Temple Theft,257,31,42,43
,Sub Total,3128,421,469,501
