Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Registration of Foreigners Act 1939,0,0,0,0
,Sub Total,7,9,3,0
15,FOREST,,,,
,Indian Forest Act 1927,1,0,0,1
,Forest (Conservation) Act 1980,7,1,0,0
,Sub Total,8,1,0,1
16,HIJACKING,,,,
,Foreign Aircraft - In India,0,0,0,0
,Foreign Aircraft - Outside India,0,0,0,0
,Indian Aircraft - In India,0,0,0,0
,Indian Aircraft - Outside India,0,0,0,0
,Sub Total,0,0,0,0
17,IMMORAL TRAFFIC,,,,
,Organised,55,15,8,15
,Un-Organised,36,9,11,7
,Sub Total,91,24,19,22
18,BONDED LABOUR SYSTEM,28,0,0,1
19,INDIAN MOTOR VEHICLE,2,0,0,1
20,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,,,
,Cultivated/Processed,1342,301,245,293
,Synthetic,1033,272,225,149
,Sub Total,2375,573,470,442
21,PASSPORT ACT,,,,
,Foreigner,0,0,0,0
,Indian,5,0,1,3
,Sub Total,5,0,1,3
22,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,,,
,Assembly,311,0,132,170
,Parliament,0,0,0,0
,Other Elected Bodies,17,2,7,9
,Sub Total,328,2,139,179
23,KARNATAKA POLICE ACT 1963,,,,
,Gambling - Matka (78 Class C),1961,575,267,314
,Street Gambling (87),2177,473,359,262
,House Gambling (79 & 80),73,14,17,8
,Betting,304,219,172,73
,Others,778,43,314,57
,Sub Total,5293,1324,1129,714
24,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY
ACT 1984",52,17,10,10
25,"POST & TELEGRAPH, TELEGRAPH WIRES
(UNLAWFUL POSSESSION) ACT 1980",7,0,0,3
26,OFFICIAL SECURITY RELATED ACTS,,,,
,Official Secrets Act 1923,0,0,0,0
,Essential Services Maintenance Act 1981,0,0,0,0
,Sub Total,0,0,0,0
27,PREVENTION OF TERRORISM ACT (POTA),0,0,0,0
28,RAILWAYS ACT,,,,
,Indian Railways Act 1989,2,0,0,0
,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
,Sub Total,2,0,0,0
29,UNLAWFUL ACTIVITIES (Prevention) Act 1967,0,0,0,0
30,CRIMES RELATED TO WOMEN,,,,
,Dowry Prohibition,767,197,156,135
,Commission of SATI (Prevention) Act 1987,0,0,0,0
,"Indecent Representation of Women (Prohibition) Act
1986",0,0,0,0
,Sub Total,767,197,156,135
31,INDIAN LUNACY ACT,0,0,0,0
