Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 0 9,926,1235,320,1621,1941
2,State Highways,316,653,969,316,1293,1609
3,Other Roads,3 58,1282,1640,361,1965,2326
,TOTAL,983,2861,3844,997,4879,5876
