S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,235,235,0,
37,Vijayanagara,143,143,0,
38,Vijayapur,216,216,0,
39,Yadgir,141,109,32,
40,Forest Cell,47,40,7,
41,CID,209,158,51,
42,ISD Bengaluru,77,69,8,
43,State INT,709,550,159,
44,APTS Yelahanka,20,1,19,
45,Battalion I - Bangalore,62,52,10,
46,Battalion II - Belgaum,36,32,4,
47,Battalion III - Bangalore,53,51,2,
48,Battalion IV - Bangalore,45,22,23,
49,Battalion IX - Bangalore,40,40,0,
50,Battalion V - Mysore,42,42,0,
51,Battalion VI - Gulbarga,41,31,10,
52,Battalion VII - Mangalore,36,36,0,
53,Battalion VIII - Shimoga,43,43,0,
54,Battalion X - Haveri,40,32,8,
55,Battalion XI - Hassan,49,49,0,
56,Battalion XII Tumakuru,40,40,0,
57,Central Range,6,3,3,
58,Centre for Counter Terrorism,44,31,13,
59,Chief Office,124,44,80,
60,COMMANDANT MOUNTED,KARP 19,19,0,
61,Eastern Range,3,3,0,
62,FPB Unit,19,4,15,
63,FSL Madiwala,24,0,24,
64,I.R.B. Vijayapura,40,17,23,
65,IGP Railways,3,3,0,
66,IGP TRAINING,8,7,1,
67,IIIrd BN KSISF,27,26,1,
68,IInd BN KSISF,26,26,0,
69,IRB Munirabad,54,50,4,
70,ISD,146,146,0,
71,Ist BN KSISF,43,43,0,
72,Kalaburgi Range,6,3,3,
73,KPA Mysore,36,36,0,
74,KSPTS Channapatna,20,20,0,
,,,,,
