Name of the unit,No. of cases,Name of the unit,No. of cases
Mangalore City,2,Bengaluru City,1
Mysore City,1,Chitradurga District,1
Davanagere District,1,Dharwad District,1
Gadag District,1,Hassan District,1
Tumakuru District,1,,
