Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Bagalkot District,350,349,99.71
2,Ballari District,338,338,100.00
3,Belagavi City,210,31,14.76
4,Belagavi District,602,599,99.50
5,Bengaluru City,5871,720,12.26
6,Bengaluru District,1033,76,7.36
7,Bidar District,377,43,11.41
8,Chamarajanagar District,249,224,89.96
9,Chickballapura District,385,104,27.01
10,Chikkamagaluru District,367,32,8.72
11,Chitradurga District,584,10,1.71
12,Dakshina Kannada District,217,208,95.85
13,Davanagere District,436,41,9.40
14,Dharwad District,181,168,92.82
15,Gadag District,186,88,47.31
16,Hassan District,563,56,9.95
17,Haveri District,314,264,84.08
18,Hubballi Dharwad City,271,269,99.26
19,K.G.F District,134,0,0.00
20,Kalaburagi City,258,33,12.79
21,Kalaburagi District,334,11,3.29
22,KODAGU(Madikeri) District,188,84,44.68
23,Kolar District,295,0,0.00
24,Koppal District,232,194,83.62
25,Mandya District,516,9,1.74
26,Mangalore COP,325,65,20.00
27,Mysuru City,308,60,19.48
28,Mysuru District,540,147,27.22
29,Raichur District,381,26,6.82
30,Ramanagara District,464,8,1.72
31,Shivamogga District,650,52,8.00
32,SP Railways,77,5,6.49
33,Tumakuru District,789,238,30.16
34,Udupi District,328,319,97.26
35,Uttara Kannada District,289,239,82.70
36,Vijayanagara District,225,0,0.00
37,Vijayapur District,416,416,100.00
38,Yadgir District,209,0,0.00
Total,,19492,5526,28.35
