S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,204,142,62,
37,Vijayanagara,156,149,7,
38,Vijayapura,193,191,2,
39,Yadgir,160,150,10,
40,Forest Cell,41,26,15,
41,CID,232,52,180,
42,ISD Bengaluru,88,25,63,
43,State INT,758,280,478,
44,APTS Yelahanka,20,7,13,
45,Battalion I - Bangalore,63,60,3,
46,Battalion II - Belgaum,39,36,3,
47,Battalion III - Bangalore,59,59,0,
48,Battalion IV - Bangalore,55,54,1,
49,Battalion IX - Bangalore,45,44,1,
50,Battalion V - Mysore,43,43,0,
51,Battalion VI - Gulbarga,37,35,2,
52,Battalion VII - Mangalore,35,35,0,
53,Battalion VIII - Shimoga,38,38,0,
54,Battalion X - Haveri,42,42,0,
55,Battalion XI - Hassan,37,35,2,
56,Battalion XII Tumakuru,47,45,2,
57,Central Range,2,1,1,
58,Centre for Counter Terrorism,59,0,59,
59,Chief Office,131,10,121,
60,COMMANDANT MOUNTED,KARP 22,17,5,
61,DCRE Headquarters Bengalu,ru 35,0,35,
62,DCRE HQ PS Bengaluru,6,0,6,
63,Eastern Range,3,2,1,
64,FPB Unit,11,1,10,
65,FSL Madiwala,27,0,27,
66,I.R.B. Vijayapura,46,46,0,
67,IGP TRAINING,11,0,11,
68,IIIrd BN KSISF,40,7,33,
69,IInd BN KSISF,39,20,19,
70,IRB Munirabad,47,41,6,
71,ISD,176,133,43,
72,Ist BN KSISF,48,31,17,
73,Kalaburgi Range,8,1,7,
74,KPA Mysore,38,15,23,
,,,,,
