S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KPA Mysore,39,3,36,
76,KSPTS Channapatna,23,5,18,
77,KSPTS Khanapur,20,1,19,
78,KSRP PTS BELAGAVI,16,15,1,
79,KSRP Training Munirabad,16,9,7,
80,PDMS Yelahanka,24,2,22,
81,PTC Gulbarga,28,3,25,
82,PTS Aimangala,20,2,18,
83,PTS Dharwad,18,6,12,
84,PTS Hassan,19,1,18,
85,PTS Kaduru,17,0,17,
86,PTS Mysuru,21,6,15,
87,PTS Thanisandra,20,0,20,
88,RFSL Ballari,7,3,4,
89,RFSL Belgaum,10,0,10,
90,RFSL Davanagere,8,6,2,
91,RFSL Gulbarga,7,0,7,
92,RFSL Hubballi,6,0,6,
93,RFSL Mangalore,9,4,5,
94,RFSL Mysore,8,3,5,
95,SCRB,38,22,16,
96,Southern Range,5,1,4,
97,SP DCRE Bengaluru City,1,1,0,
98,SP DCRE Central Range,4,1,3,
99,SP DCRE Eastern Range,2,1,1,
100,SP DCRE Northern Range,2,1,1,
101,SP DCRE Southern Range,2,0,2,
102,SP DCRE Western Range,2,2,0,
103,Special Task Force,2,0,2,
104,State Wireless,82,19,63,
105,TTI Bangalore,3,1,2,
106,Western Range,1,1,0,
,Grand Total,12712,6389,6323,
