Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC)",,,,
,Attempt to Commit,1,0,0,1
,Office,2,1,0,0
,Public Conveyance,2,0,0,1
,Public Place,34,6,3,12
,Other Places,49,10,8,16
,Sub Total,88,17,11,30
51,"SUICIDE (Sec.305, 306, 309 IPC)",,,,
,Dowry,1,0,0,0
,Abetment of Suicide,180,35,33,30
,Other Reasons,165,25,20,21
,Attempt to Commit suicide,66,13,9,7
,Sub Total,412,73,62,58
52,UNNATURAL SEX (Sec.377 IPC),,,,
,Abetment,0,0,0,0
,Animal,0,0,0,0
,Attempt,0,0,0,0
,Major - Man,3,0,2,0
,Major - Woman,1,2,1,0
,Minor - Boy,0,0,0,0
,Minor - Girl,0,0,0,0
,Sub Total,4,2,3,0
53,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC)",,,,
,Attempt to Commit,14,3,1,1
,To Extort Confession,4,1,1,0
,To Extort Property,14,1,2,2
,To settle Dispute,8,1,0,2
,Others,201,38,25,35
,Sub Total,241,44,29,40
54,"INFANTICIDE (Sec.315, 316 IPC)",,,,
,Male,0,0,0,0
,Female,0,0,0,0
,Sub Total,0,0,0,0
55,"OFFENCES RELATED TO MARRIAGE (Sec.493
to 498 IPC)",24,4,3,3
56,"BUYING & SELLING MINOR FOR PROSTITUTION
(Sec.372, 373 IPC)",0,0,0,0
57,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC)",,,,
,Documents,1,0,0,1
,Property,1,0,0,1
,Sub Total,2,0,0,2
58,DEFAMATION (Sec.500 to 502 IPC),,,,
,Persons,4,0,1,0
,Printed Matter,2,0,0,0
,Others,2,0,1,0
,Sub Total,8,0,2,0
59,ELECTION(Sec.171(E) to 171(1) IPC),,,,
,Assembly,6,2,0,1
,Parliament,153,1,4,0
,Other Elected Bodies,13,0,4,0
,Sub Total,172,3,8,1
60,"SLAVERY (Sec.370, 371, 374 IPC)",,,,
,Man,0,0,0,0
,Woman,0,0,0,0
,Boy,0,0,0,0
,Girl,0,0,0,0
,Sub Total,0,0,0,0
