DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF JANUARY - 2025 (AS ON 01/02/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
1,MURDER,4,1,1,8,14,10,2,2,2,0,2,1,1,5,0,5,1,1,0,0,0,0,2,4,2,4,0,0,6,3,3,3,1,0,0,1,7,2,98
2,DACOITY,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,1,13
3,ROBBERY,1,1,1,3,21,3,0,0,1,0,0,0,1,0,1,0,1,1,0,0,3,0,0,4,1,0,0,1,1,0,3,2,2,0,0,0,4,0,56
3a,CHAIN SNATCHING,0,1,1,0,10,4,0,0,1,0,2,0,1,0,1,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,1,9,2,0,0,1,0,42
4a,BURGLARY - DAY,4,3,1,1,22,4,4,3,4,0,1,2,3,1,1,0,3,2,0,3,2,0,1,3,2,0,1,1,1,5,5,5,1,0,0,1,1,3,94
4b,BURGLARY - NIGHT,7,2,4,16,36,13,10,8,14,7,6,2,12,5,5,16,12,10,7,12,11,0,4,11,8,7,2,2,11,7,3,4,10,4,5,6,10,7,316
5,THEFT,22,21,19,37,759,131,14,5,22,15,40,7,38,6,18,34,40,15,7,21,33,50,16,11,23,35,12,22,41,82,41,52,40,31,13,18,25,21,1837
6,RIOTS,3,7,1,20,9,8,12,4,8,5,22,0,25,2,5,1,12,1,1,12,6,0,1,10,5,1,1,1,12,16,1,16,5,0,4,8,9,6,260
7,CASES OF HURT,17,12,14,33,261,47,48,22,25,63,46,20,35,7,6,67,21,7,10,28,18,1,25,21,15,50,15,31,55,25,28,70,69,13,30,13,26,20,1314
8,Spl & Local laws,110,111,37,86,1379,98,58,89,135,85,107,23,121,38,52,121,100,74,17,85,167,5,33,49,85,101,107,49,61,120,87,101,211,52,82,75,105,118,4534
