Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 8 6,815,1101,300,1355,1655
2,State Highways,199,562,761,209,888,1097
3,Other Roads,2 87,1226,1513,299,1634,1933
,TOTAL,772,2603,3375,808,3877,4685
