Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
28,"CRIMINAL TRESPASS (Sec.447 to 452
IPC/329(3) TO 333 BNS)",,,,
,Attempt to Commit,4,1,1,2
,Club,2,0,0,2
,Hostel,1,2,0,0
,Hotel,2,2,0,1
,House,197,63,72,60
,Land,390,108,120,125
,Office,15,4,5,6
,Prohibited Places,4,2,1,2
,Religious Place,2,1,0,1
,Restricted Area,4,2,1,3
,Others,62,19,20,23
,Sub Total,683,204,220,225
29,"CRUELTY BY HUSBAND (Sec. 498(A) IPC/85
BNS)",,,,
,Husband,259,121,69,90
,Husband And Relative(S) in Law,301,138,99,113
,Relative(S) in Law,8,1,2,4
,Dowry Harassment,136,38,41,48
,Prevention of Gaming,0,1,0,0
,Sub Total,704,299,211,255
30,DOWRY DEATHS (Sec.304(B) IPC/80 BNS),,,,
,By Husband,1,0,0,1
,By Husband And Relatives In Law,13,3,3,5
,By Relatives in Law,0,0,0,0
,By Burning,0,0,0,0
,By Hanging,15,4,4,4
,By Other Means,2,0,2,0
,Sub Total,31,7,9,10
31,"DEATHS DUE TO RASHNESS/NEGLIGENCE
(Sec.304(A) IPC/106 BNS)",,,,
,Electrocution,4,1,1,2
,Adulterated Food/Drug,0,0,0,0
,Accident by Air,0,0,0,0
,Boad Accident,0,0,0,0
,Bridge/Dam Collapse,0,0,0,0
,Building Collapse,0,1,0,0
,Caused By Animal,0,0,0,0
,Death Due to Other Cause,15,10,4,5
,Electrocution Accident,6,1,1,4
,Explosion Accident,0,0,0,0
,Fire accident,0,1,0,0
,Gas Leakage Accident,0,0,0,0
,Improper Infrastucture In Construction,19,5,5,7
,Improper Medical Treatment,2,1,0,2
,In Custody of Public Servant,0,0,0,0
,In Jail/Judicial Custody,0,1,0,0
,In Police Custody,0,0,0,0
,Industrial Accident (Factory),0,1,0,0
,Inflammable Substance,0,0,0,0
,Mine Accident,1,0,1,0
,Poisonous Substance,0,0,0,0
,Quarry Accident,0,0,0,0
,Spurious Liquor (Hooch) Accident,0,0,0,0
,Railway Accident,0,0,0,0
,Others,16,8,6,8
,Sub Total,63,30,18,28
32,"MOTOR VEHICLE ACCIDENTS FATAL
(Sec.304(A) IPC/106 BNS)",,,,
,National Highways,962,326,318,307
,State Highways,814,286,287,241
,Other Roads,1112,373,377,339
,Other Places,44,19,18,17
,Sub Total,2932,1004,1000,904
