DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF NOVEMBER - 2024 (AS ON 02/12/2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F
.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
1,MURDER,1,0,2,9,10,9,3,0,1,2,3,1,3,1,2,4,0,2,0,1,3,1,1,5,2,1,1,3,5,4,1,5,3,0,1,3,8,1,102
2,DACOITY,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,9
3,ROBBERY,1,0,0,2,14,4,1,0,0,0,0,0,3,0,1,2,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6,1,0,1,0,1,0,44
3a,CHAIN SNATCHING,0,0,0,2,9,7,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,1,1,2,0,3,0,1,2,0,1,2,3,0,0,0,0,0,40
4a,BURGLARY - DAY,5,4,2,3,11,6,1,0,2,0,1,2,1,1,0,5,0,1,2,3,4,0,2,4,0,6,1,2,3,1,4,2,1,0,3,0,3,3,89
4b,BURGLARY - NIGHT,2,5,4,15,65,30,5,8,8,2,6,5,14,3,1,9,9,5,4,7,4,0,6,6,7,9,0,8,20,5,13,9,16,2,6,8,6,0,332
5,THEFT,21,11,33,26,650,118,18,11,29,14,22,7,38,7,12,28,28,17,4,45,24,52,8,15,7,23,17,24,47,46,44,47,64,31,27,12,21,17,1665
6,RIOTS,4,7,0,13,2,3,10,4,10,1,20,1,15,5,2,2,12,1,0,13,8,0,0,7,5,3,2,0,6,14,2,16,4,3,6,7,7,4,219
7,CASES OF HURT,12,10,11,28,267,55,41,16,30,59,42,21,24,3,5,38,18,12,11,21,26,2,25,19,10,34,27,19,70,22,27,70,45,21,39,10,30,8,1228
8,Spl & Local laws,130,189,65,313,1697,120,61,66,100,140,116,29,131,81,164,100,75,131,26,62,57,8,60,32,132,91,93,41,40,171,64,139,156,45,86,294,217,98,5620
