S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,205,83,122,
37,Vijayanagara,156,130,26,
38,Vijayapura,193,185,8,
39,Yadgir,160,54,106,
40,Forest Cell,41,17,24,
41,CID,228,12,216,
42,ISD Bengaluru,88,12,76,
43,State INT,757,117,640,
44,APTS Yelahanka,20,4,16,
45,Battalion I - Bangalore,63,46,17,
46,Battalion II - Belgaum,39,34,5,
47,Battalion III - Bangalore,59,45,14,
48,Battalion IV - Bangalore,55,47,8,
49,Battalion IX - Bangalore,45,35,10,
50,Battalion V - Mysore,43,39,4,
51,Battalion VI - Gulbarga,40,25,15,
52,Battalion VII - Mangalore,35,30,5,
53,Battalion VIII - Shimoga,38,38,0,
54,Battalion X - Haveri,42,37,5,
55,Battalion XI - Hassan,37,34,3,
56,Battalion XII Tumakuru,47,46,1,
57,Centre for Counter Terrorism,59,2,57,
58,Chief Office,130,1,129,
59,COMMANDANT MOUNTED,KARP 22,6,16,
60,DCRE Headquarters Bengalu,ru 35,0,35,
61,DCRE HQ PS Bengaluru,6,0,6,
62,Eastern Range,3,1,2,
63,FPB Unit,11,0,11,
64,FSL Madiwala,27,0,27,
65,I.R.B. Vijayapura,46,36,10,
66,IGP TRAINING,11,0,11,
67,IIIrd BN KSISF,40,5,35,
68,IInd BN KSISF,39,6,33,
69,IRB AVATHI,1,0,1,
70,IRB Munirabad,47,45,2,
71,ISD,176,79,97,
72,Ist BN KSISF,48,2,46,
73,Kalaburgi Range,9,2,7,
74,KPA Mysore,38,4,34,
,,,,,
