Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Trust - Religious,0,0,0,0
,Others,4,1,1,1
,Sub Total,5,2,1,2
28,CRIMINAL TRESPASS (Sec.447 to 452 IPC),,,,
,Attempt to Commit,4,1,0,0
,Club,1,0,0,0
,Hostel,1,0,0,1
,Hotel,3,1,2,0
,House,209,55,43,42
,Land,439,92,74,102
,Office,26,1,5,3
,Prohibited Places,7,0,1,2
,Religious Place,6,1,0,1
,Restricted Area,7,4,0,1
,Others,84,18,23,11
,Sub Total,787,173,148,163
29,CRUELTY BY HUSBAND (Sec. 498(A) IPC),,,,
,Husband,375,104,89,61
,Husband And Relative(S) in Law,499,115,101,97
,Relative(S) in Law,12,0,3,3
,Dowry Harassment,196,38,39,40
,Prevention of Gaming,0,0,0,0
,Sub Total,1082,257,232,201
30,DOWRY DEATHS (Sec.304(B) IPC),,,,
,By Husband,4,3,1,0
,By Husband And Relatives In Law,24,7,4,4
,By Relatives in Law,0,0,0,0
,By Burning,1,0,0,0
,By Hanging,26,4,6,8
,By Other Means,2,0,0,1
,Sub Total,57,14,11,13
31,"DEATHS DUE TO RASHNESS/NEGLIGENCE
(Sec.304(A) IPC)",,,,
,Electrocution,9,2,3,4
,Adulterated Food/Drug,0,0,0,0
,Accident by Air,1,0,0,0
,Boad Accident,0,0,0,0
,Bridge/Dam Collapse,0,0,0,0
,Building Collapse,3,0,0,1
,Caused By Animal,1,0,0,0
,Death Due to Other Cause,32,9,9,5
,Electrocution Accident,27,7,2,10
,Explosion Accident,1,0,1,0
,Fire accident,0,1,0,0
,Gas Leakage Accident,1,0,0,0
,Improper Infrastucture In Construction,30,4,3,5
,Improper Medical Treatment,1,1,0,0
,In Custody of Public Servant,0,0,0,0
,In Jail/Judicial Custody,0,0,0,0
,In Police Custody,0,0,0,0
,Industrial Accident (Factory),1,2,0,1
,Inflammable Substance,0,0,0,0
,Mine Accident,0,0,0,0
,Poisonous Substance,0,0,0,0
,Quarry Accident,0,0,0,0
,Spurious Liquor (Hooch) Accident,0,0,0,0
,Railway Accident,0,0,0,0
,Others,35,7,11,10
,Sub Total,142,33,29,36
32,"MOTOR VEHICLE ACCIDENTS FATAL
(Sec.304(A) IPC)",,,,
,National Highways,1633,377,319,363
,State Highways,1353,265,249,282
,Other Roads,1773,392,326,360
,Other Places,76,26,13,21
,Sub Total,4835,1060,907,1026
