S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,167,167,0,
2,Ballari,168,164,4,
3,Belagavi City,210,210,0,
4,Belagavi Dist,268,268,0,
5,Bengaluru City,"3,064","2,273",791,
6,Bengaluru Dist,209,166,43,
7,Bidar,224,223,1,
8,Chamarajanagar,120,120,0,
9,Chickballapura,136,136,0,
10,Chikkamagaluru,246,246,0,
11,Chitradurga,187,134,53,
12,Coastal Security Police,42,32,10,
13,Dakshina Kannada,178,173,5,
14,Davanagere,206,182,24,
15,Dharwad,117,117,0,
16,Gadag,164,162,2,
17,Hassan,190,190,0,
18,Haveri,146,146,0,
19,Hubballi Dharwad City,256,250,6,
20,K.G.F,99,87,12,
21,Kalaburagi,208,141,67,
22,Kalaburagi City,160,145,15,
23,Karnataka Railways,89,89,0,
24,Kodagu,139,113,26,
25,Kolar,174,163,11,
26,Koppal,160,160,0,
27,Mandya,231,230,1,
28,Mangaluru City,214,169,45,
29,Mysuru City,246,191,55,
30,Mysuru Dist,219,219,0,
31,Raichur,177,177,0,
32,Ramanagara,199,182,17,
33,Shivamogga,218,217,1,
34,Tumakuru,298,262,36,
35,Udupi,208,205,3,
,,,,,
