"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,,,
Unitwise - Month wise Report on Receipts & Disposals - September - 2025,,,,,,
"Police Department has implemented 23 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for September 2025 as on 30.09.2025 are as under.",,,,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 30.09.2025",,
1,Bengaluru City,42996,42462,57,,
2,Belagavi City,3557,3371,127,,
3,Hubli-Dharwad City,1486,1590,21,,
4,Mysore City,3420,3297,20,,
5,Mangalore City,3999,3464,12,,
6,Bagalkot,1509,1754,44,,
7,Ballari,1300,1171,47,,
8,Belagavi,1048,1137,76,,
9,Bengaluru Rural,1878,1782,81,,
10,Bidar,954,876,13,,
11,Chamarajanagar,1483,1479,13,,
12,Chikkaballapura,2190,2143,4,,
13,Chikkamagaluru,2039,1867,6,,
14,Chitradurga,1798,1982,23,,
15,Dakshina Kannada,1053,1030,25,EEExxxppitoo,rrtt ttoo PExDcFel
16,Davanagere,1683,2032,62,,
17,Dharwad,1281,1266,22,,
18,Gadag,654,693,6,,
19,Hassan,2613,2433,22,,
20,Haveri,1234,1288,51,,
21,Kalaburagi,1410,1555,9,,
22,Kodagu,924,874,9,,
23,Kolar,1422,1342,5,,
24,KGF,892,930,2,,
25,Koppal,800,824,1,,
26,Mandya,2584,2555,18,,
27,Mysuru,2113,2203,25,,
28,Raichur,972,1066,14,,
29,Ramanagara,2141,2133,1,,
30,Shivamogga,2693,2481,60,,
31,Tumakuru,3049,2861,20,,
32,Udupi,2127,1892,0,,
33,Uttara Kannada,2598,2515,48,,
34,VijayaNagara,792,777,2,EEExxxppitoo,rrtt ttoo PExDcFel
35,Vijayapura,1682,1869,20,,
36,Yadgir,564,566,3,,
,Total,104938,103560,969,,
