Sl.NO,Service Name,Received,Disposed,Pending
1,Job / Service Verification,39206,28833,10373
2,"Police Verification Certificate(PVC) for
Central/State Govt employees if request is
received directly by the employee / By
Concerned Department",808,602,206
3,"Police Clearance Certificate for going
abroad (Visa for studies)/ Police Clearance
Certificate for Foreign Nationals",287,232,55
4,"Police verification Certificate for
Coolies/Loader/Class IV Security Staff/
Supervisor at Airport (Individual applicants
only)",11022,7857,3165
5,"Police Verification Certificate for domestic
servants/house keeping",0,0,0
6,"Police Verification Certificate for
Institutions/ Companies",120,82,38
7,"Police verification Certificate for Marriage
Alliances",24,14,10
8,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for
trainees/ Workers working on daily wages
at Govt. Institutions",6801,4689,2112
9,Amplified Sound System,309,273,36
10,"Missing Report of documents, Mobile phone
etc",312,73,239
11,Disposal of petitions,40,4,36
12,Locked Home Details,0,0,0
13,Senior Citizen Registration,116,0,116
14,Complaint Registration,74,6,68
15,License for Amusement,0,0,0
16,"No obligation to return to India (NORI)
Certificate",0,0,0
17,"NOC for petrol pump,gas agency,hotel,bar
etc.",0,0,0
18,"Permission for Peaceful Assembly and
procession",0,0,0
19,"Application for Temporary License for Sale
of Crackers",0,0,0
20,"NOC for setting up of Petroleum, Diesel and
Naphtha sale and transport",0,0,0
Total,,59119,42665,16454
