S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,168,168,0,
2,Ballari,168,168,0,
3,Belagavi City,210,209,1,
4,Belagavi Dist,284,283,1,
5,Bengaluru City,"3,071","2,373",698,
6,Bengaluru Dist,208,151,57,
7,Bidar,225,224,1,
8,Chamarajanagar,120,120,0,
9,Chickballapura,136,136,0,
10,Chikkamagaluru,246,246,0,
11,Chitradurga,187,118,69,
12,Coastal Security Police,42,25,17,
13,Dakshina Kannada,178,177,1,
14,Davanagere,206,197,9,
15,Dharwad,120,120,0,
16,Gadag,164,141,23,
17,Hassan,190,190,0,
18,Haveri,146,143,3,
19,Hubballi Dharwad City,256,233,23,
20,K.G.F,99,99,0,
21,Kalaburagi,209,113,96,
22,Kalaburagi City,160,156,4,
23,Karnataka Railways,92,89,3,
24,Kodagu,145,131,14,
25,Kolar,176,140,36,
26,Koppal,178,178,0,
27,Mandya,231,230,1,
28,Mangaluru City,214,158,56,
29,Mysuru City,247,208,39,
30,Mysuru Dist,219,219,0,
31,Raichur,177,177,0,
32,Ramanagara,203,166,37,
33,Shivamogga,240,237,3,
34,Tumakuru,298,217,81,
35,Udupi,208,208,0,
,,,,,
