Name of the unit,No. of cases,Name of the unit,No. of cases
Hubli-Dharwad City,2,Raichur District,2
Shivamogga District,2,Bidar District,1
Dharwad District,1,Railways,1
Mandya District,1,Uttara Kannada District,1
