S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSRP PTS BELAGAVI,18,9,9,
76,KSRP Training Munirabad,14,13,1,
77,PDMS Yelahanka,32,8,24,
78,PTC Gulbarga,45,2,43,
79,PTS Aimangala,19,3,16,
80,PTS Dharwad,19,2,17,
81,PTS Hassan,20,0,20,
82,PTS Kaduru,16,0,16,
83,PTS Mysuru,21,2,19,
84,PTS Thanisandra,22,0,22,
85,RFSL Ballari,7,4,3,
86,RFSL Belgaum,10,2,8,
87,RFSL Davanagere,9,5,4,
88,RFSL Gulbarga,7,0,7,
89,RFSL Hubballi,5,0,5,
90,RFSL Mangalore,12,3,9,
91,RFSL Mysore,8,4,4,
92,SCRB,42,33,9,
93,Southern Range,7,2,5,
94,Special Task Force,8,0,8,
95,State Wireless,82,21,61,
96,TTI Bangalore,5,1,4,
97,Western Range,3,0,3,
,Grand Total,13097,5362,7735,
