"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,,,
Unitwise - Month wise Report on Receipts & Disposals - November - 2025,,,,,,
"Police Department has implemented 23 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for November 2025 as on 30.11.2025 are as under.",,,,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 30.11.2025",,
1,Bengaluru City,43184,41405,114,,
2,Belagavi City,4510,4221,136,,
3,Hubli-Dharwad City,1263,1114,77,,
4,Mysore City,3508,3477,16,,
5,Mangalore City,1306,1421,113,,
6,Bagalkot,1394,1440,44,,
7,Ballari,2445,1495,4,,
8,Belagavi,1437,1344,118,,
9,Bengaluru Rural,1970,2163,51,,
10,Bidar,1298,1217,77,,
11,Chamarajanagar,1496,1527,16,,
12,Chikkaballapura,1739,1582,17,,
13,Chikkamagaluru,2461,2491,2,,
14,Chitradurga,2073,1910,42,,
15,Dakshina Kannada,1188,1132,91,EEExxxppitoo,rrtt ttoo PExDcFel
16,Davanagere,2019,1869,9,,
17,Dharwad,1019,953,27,,
18,Gadag,628,614,4,,
19,Hassan,2659,2889,32,,
20,Haveri,1400,1295,29,,
21,Kalaburagi,1767,1691,3,,
22,Kodagu,1088,1096,0,,
23,Kolar,1581,1666,21,,
24,KGF,771,730,0,,
25,Koppal,887,892,10,,
26,Mandya,3019,3194,31,,
27,Mysuru,2136,2176,14,,
28,Raichur,1174,1209,10,,
29,Ramanagara,2286,2570,2,,
30,Shivamogga,2915,3041,20,,
31,Tumakuru,3225,3052,21,,
32,Udupi,1943,2104,37,,
33,Uttara Kannada,2697,2618,22,,
34,VijayaNagara,1078,1015,4,EEExxxppitoo,rrtt ttoo PExDcFel
35,Vijayapura,2228,2102,11,,
36,Yadgir,588,554,14,,
,Total,108380,105269,1239,,
