"Comparitive Crime Statement 17 for the Years 2023, 2024, and 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2023,,,,,,,,,,,,,2024,,,,,,,,,,,,,2025 As on 30/06/2025,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-III (SLL Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arms Act,294,9,3,282,0,3,9,0,248,6,9,4,3,282,8,2,272,0,3,5,0,206,52,4,0,2,200,3,0,197,0,0,0,0,42,155,0,0,0
Cow Slaughter,269,6,4,259,0,9,3,1,239,3,3,1,0,239,6,3,230,0,7,0,1,185,24,13,0,0,116,0,1,115,0,0,0,0,42,73,0,0,0
Animal Sacrifice Act,342,18,1,323,0,45,5,0,246,0,24,3,0,327,10,2,315,0,32,4,1,225,31,22,0,0,226,2,0,224,0,3,0,0,63,156,2,0,0
P.I.T Act,313,3,1,309,0,3,4,0,284,12,3,3,0,299,1,1,297,0,0,2,0,243,51,0,0,1,166,0,0,166,0,0,0,0,36,130,0,0,0
POCSO,3902,55,174,3673,0,125,1416,3,2060,6,15,31,17,4065,65,204,3796,0,36,589,3,3084,25,18,24,17,2137,20,74,2043,0,0,13,0,1190,834,1,1,4
K.P Act,1311,208,1,1102,0,479,22,8,564,4,6,16,3,517,45,0,472,0,147,10,3,291,14,4,3,0,291,1,0,290,0,22,1,0,187,79,1,0,0
E.C Act,492,11,1,480,0,4,9,0,394,31,2,39,1,431,9,0,422,0,4,2,0,300,102,1,13,0,300,0,0,300,0,0,0,0,37,261,0,2,0
SC/ST/Act,2151,386,40,1725,1,11,204,3,1378,71,8,42,8,2114,335,44,1735,0,3,76,2,1550,76,2,21,5,1116,80,15,1021,0,0,0,0,531,486,0,4,0
Explosive Act,270,3,0,267,0,81,4,2,155,13,5,7,0,143,1,0,142,0,19,0,1,78,39,3,1,1,44,0,0,44,0,0,0,0,3,40,1,0,0
N.D.P.S AcT,6767,16,0,6751,0,3238,110,44,3306,7,11,18,17,4188,9,4,4175,0,1473,26,12,2487,152,16,7,2,2830,4,1,2825,0,262,1,1,1478,1080,3,0,0
