Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,"Information Technology Act 2000, 2009",11416,1156,1760,2067
,Sub Total,11416,1156,1760,2067
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,0,0,0,0
,Gang Rape,5,0,0,1
,Rape with Murder,0,0,0,0
,Rape,1427,180,237,202
,Others,580,71,77,105
,Sub Total,2012,251,314,308
,Total (Item 1 to 36),38766,4801,6796,6028
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,0,0,0,0
,1.2 Gang Rape,7,2,2,1
,1.3 other Cases of Rape,382,41,46,50
,Sub Total,389,43,48,51
2,Outraging modesty (Molestation) (sec.354 IPC),4255,393,584,632
3,Kidnapping & Abduction of Women: (Sec.366 IPC),102,12,14,13
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC
if victim is a woman)",87,6,17,18
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",2,1,1,0
7,Murder for other reasons,281,29,34,40
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",0,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",33,7,3,5
10,Attempt to Commit murder for other reasons,565,70,82,91
11,"Dowry Death-by burning
(Sec.304-B IPC)",2,0,0,1
12,Dowry Death-by other Means (Sec.304(B) IPC),95,11,16,12
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",2062,206,316,337
14,Abetment of Suicide (Sec.306 IPC),100,2,16,12
15,Immoral Traffic (prevention) Act.,196,14,35,35
16,"Indecent Representation of Women(Prohibition) Act-
1986",0,0,0,0
17,Pornography,3,0,0,1
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",83,6,10,10
19,Offences related to Marriage,26,4,3,4
20,Cyber Crimes,4959,363,760,762
,Total (Item 1 to 20),13240,1167,1939,2024
