Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
C. CRIMES AGAINST WOMEN,,,,,
1,RAPE (Sec.376 IPC/64 BNS),,,,
,1.1 Custodial Rape,0,0,0,0
,1.2 Gang Rape,7,0,2,0
,1.3 other Cases of Rape,474,63,88,78
,Sub Total,481,63,90,78
2,"Outraging modesty (Molestation) (sec.354 IPC/74
BNS)",2693,624,490,527
3,"Kidnapping & Abduction of Women: (Sec.366
IPC/87 BNS)",59,14,15,9
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509
IPC/296 & 79 BNS if victim is a woman)",199,11,35,42
5,"Murder for Dowry - by burning (Sec.302 IPC/103
BNS)",1,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC/103 BNS)",4,1,0,0
7,Murder for other reasons,189,32,29,28
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC/109 BNS)",0,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC/109 BNS)",10,5,2,0
10,Attempt to Commit murder for other reasons,511,57,63,100
11,"Dowry Death-by burning
(Sec.304-B IPC/80 BNS)",1,0,0,0
12,"Dowry Death-by other Means (Sec.304(B) IPC/80
BNS)",59,10,6,7
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC/85 BNS)",1458,285,260,270
14,Abetment of Suicide (Sec.306 IPC/108 BNS),81,13,11,9
15,Immoral Traffic (prevention) Act.,166,21,20,51
16,"Indecent Representation of Women(Prohibition) Act-
1986",1,1,0,1
17,Pornography (Sec.292 to 294 IPC/294 TO 296 BNS),1,0,0,0
18,"Offences against Public Servants (Sec 182-
188,332,333,353IPC/217-223,121(1),121(2),132
BNS)",65,9,8,11
19,Offences related to Marriage,17,2,3,3
20,Cyber Crimes,2232,602,382,389
,Total (Item 1 to 20),8228,1750,1414,1525
