Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,63,91,64,63
,On Highways,0,0,0,0
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,2,2,4,2
,In Other Places,5,6,6,5
,Temple Theft,3,2,3,3
,Sub Total,73,101,77,73
,Total Burglary (Burglary Day + Burglary Night),439,419,475,439
11,THEFT (Sec.379 to 389 IPC),,,,
,Of sand,65,77,124,65
,Attempt to commit,3,3,5,3
,At ATM,0,0,1,0
,Of Automobiles - Of Tractors,10,0,15,10
,Communication And Elec. Wire,26,28,22,26
,Of Cattle,32,51,34,32
,Of Cycle,13,13,12,13
,Of Automobiles - Of Lorries/Trucks,14,15,11,14
,Of Automobiles - Of Buses,1,1,0,1
,Of Automobiles - Of Cars / Jeeps,25,26,19,25
,Of Automobiles - Of Two Wheelers,814,842,939,814
,Of Automobies - of Three Wheelers,38,28,29,38
,Of Accessories of Motor Vehicle,21,38,23,21
,Govt. Vehicle,0,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",117,96,154,117
,Of Fire Arms,0,0,1,0
,Of Explosives,0,0,0,0
,Of Cultural - Idols,0,4,0,0
,Of Cultural - Painting,0,0,0,0
,Of Cultrual - Others,24,23,21,24
,Cash,40,34,64,40
,Jewellery,98,47,101,98
,Other Items Not Included Above,129,163,165,129
,In Running Train,1,1,10,1
,Extortion,16,8,17,16
,House Theft,136,70,149,136
,Servant Theft,23,15,36,23
,Sub Total,1646,1583,1952,1646
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,82,98,102,82
,Employee - Govt.,0,0,1,0
,Labour - Private Sector,0,0,0,0
,Labour - Public Sector,0,0,0,0
,Linguistic,1,0,0,1
,Political,0,3,0,0
,Regional,0,3,0,0
,Sectarian,0,0,0,0
,Students,1,0,1,1
,Tribal,0,0,0,0
,Due to Village Disputes,1,4,1,1
,Communal,0,0,1,0
,Industrial,1,1,0,1
,Caste,0,0,1,0
,Agrarian,1,0,0,1
,Others,194,226,210,194
,Sub Total,281,335,317,281
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",4,2,4,4
15,CRIMINAL BREACH OF TRUST,35,47,47,35
