Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 3 2,873,1205,344,1572,1916
2,State Highways,270,677,947,272,1351,1623
3,Other Roads,3 69,1276,1645,373,1881,2254
,TOTAL,971,2826,3797,989,4804,5793
