Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,5,Shivamogga District,4
Tumakuru District,2,Mysore City,1
Bellary District,1,Bengaluru South,1
Bidar District,1,Chamarajanagar District,1
Davanagere District,1,Haveri District,1
