Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Bagalkot District,268,268,100.00
2,Mysuru City,287,286,99.65
3,Dharwad District,119,118,99.16
4,Chikkamagaluru District,289,286,98.96
5,Koppal District,263,260,98.86
6,Udupi District,263,260,98.86
7,Vijayapur District,383,376,98.17
8,Dakshina Kannada District,141,138,97.87
9,Kalaburagi City,195,188,96.41
10,Belagavi District,462,444,96.10
11,Ballari District,282,261,92.55
12,Mandya District,476,417,87.61
13,Tumakuru District,644,563,87.42
14,Gadag District,165,141,85.45
15,Uttara Kannada District,325,266,81.85
16,Chamarajanagar District,274,221,80.66
17,Davanagere District,379,303,79.95
18,Belagavi City,159,121,76.10
19,Vijayanagara District,227,171,75.33
20,Yadgir District,213,157,73.71
21,Bengaluru District,795,584,73.46
22,Ramanagara District,389,284,73.01
23,Haveri District,323,227,70.28
24,Hassan District,524,363,69.27
25,Chitradurga District,531,349,65.73
26,Raichur District,356,209,58.71
27,Bidar District,333,195,58.56
28,SP Railways,72,42,58.33
29,Kolar District,245,137,55.92
30,Bengaluru City,4680,2582,55.17
31,K.G.F District,89,48,53.93
32,Hubballi Dharwad City,220,97,44.09
33,Chickballapura District,328,142,43.29
34,Mysuru District,524,217,41.41
35,KODAGU(Madikeri) District,206,66,32.04
36,Shivamogga District,543,81,14.92
37,Mangalore COP,332,48,14.46
38,Kalaburagi District,344,32,9.30
Total,,16648,10948,65.76
