DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF JULY - 2024 (AS ON 01/08/2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F
.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
1,MURDER,1,3,0,7,18,3,3,0,1,2,4,0,2,1,1,6,0,2,0,3,1,1,3,2,0,1,0,0,5,1,3,2,3,0,0,2,3,1,85
2,DACOITY,0,0,2,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,21
3,ROBBERY,0,0,0,1,28,8,0,1,0,2,1,0,3,1,2,3,2,1,1,2,3,1,0,1,0,2,1,2,0,1,0,3,0,0,0,1,1,0,72
3a,CHAIN SNATCHING,0,0,1,0,13,4,2,4,4,0,1,0,1,0,1,1,0,1,0,0,1,0,0,2,0,0,1,2,1,0,4,1,2,0,0,1,1,0,49
4a,BURGLARY - DAY,0,3,3,2,15,6,0,1,1,0,1,0,1,1,0,5,2,2,1,1,0,0,1,1,1,2,3,0,6,3,1,3,1,0,1,1,1,4,74
4b,BURGLARY - NIGHT,5,8,11,12,50,37,7,7,10,9,14,2,22,7,6,19,7,10,12,6,9,0,8,4,15,12,5,7,25,7,12,13,24,6,5,3,9,2,427
5,THEFT,26,27,18,22,846,151,21,21,30,16,39,11,29,8,9,33,38,16,11,23,35,63,4,37,35,31,22,18,32,56,53,26,57,10,11,19,30,19,1953
6,RIOTS,7,5,2,22,5,8,9,2,10,1,11,2,11,1,8,4,13,2,0,8,6,0,0,4,3,4,0,0,4,19,3,8,3,0,3,8,14,20,230
7,CASES OF HURT,12,15,3,22,249,46,43,28,41,38,51,11,19,9,10,61,19,7,9,24,13,0,10,31,12,38,14,21,39,22,50,57,54,7,30,11,19,21,1166
8,Spl & Local laws,91,99,26,48,2123,144,39,55,173,83,76,32,95,19,40,99,97,117,25,44,51,2,55,47,140,66,103,61,55,140,66,107,171,43,70,71,63,91,4927
9a,RAPE,0,0,0,1,17,2,0,0,1,2,1,4,2,0,0,1,3,1,0,0,1,0,0,2,1,0,3,2,2,2,1,2,2,0,2,1,1,1,58
9b,DOWRY DEATHS,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
10,POCSO,1,7,2,7,40,8,4,4,15,9,9,3,4,2,3,10,11,5,3,3,3,0,13,11,4,10,6,5,9,9,10,16,12,4,5,8,7,3,285
11,SC ST & POA Act,4,2,1,6,12,12,2,2,4,5,5,1,5,3,4,5,3,2,1,2,3,0,2,3,7,4,3,2,6,10,6,5,10,3,2,0,5,9,161
12a,107 Cr.P.C.,9,19,3,14,15,4,10,1,7,0,4,5,1,0,10,9,6,2,8,7,0,0,1,5,2,2,2,0,7,2,3,10,18,3,5,17,6,4,221
12b,109 Cr.P.C.,5,2,2,0,12,0,2,0,1,0,2,0,1,2,0,2,0,0,1,1,0,2,0,0,1,1,0,0,2,1,2,1,6,0,1,2,2,1,55
12c,110 Cr.P.C.,1,0,0,2,7,0,2,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,3,0,0,0,0,29,0,0,3,2,1,58
13,CYBER CRIME,7,17,11,6,1650,93,2,3,20,5,4,16,10,1,5,12,8,23,9,5,5,0,6,5,3,4,9,22,7,2,16,11,24,17,8,2,11,1,2060
14a,Cr. Br. of Trust,3,3,0,1,17,4,1,0,0,0,0,0,2,0,0,7,1,0,1,0,1,0,1,0,0,0,2,1,0,0,0,1,3,1,0,0,0,1,51
14b,CHEATING,12,15,9,8,274,45,0,4,12,5,8,7,9,5,9,15,9,9,2,5,7,0,2,8,5,11,10,11,6,17,7,17,26,6,4,6,8,3,616
14c,COUNTERFEITING,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,KMMC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
15a,MMDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
16,"Motor vehicles
Theft Cases",16,8,14,16,497,91,12,11,15,11,25,4,19,4,4,21,30,9,6,5,24,2,2,24,6,15,6,13,15,20,33,18,33,5,1,8,13,6,1062
17,NDPS Cases,0,2,2,1,40,1,2,3,2,15,6,6,21,2,0,11,2,70,0,0,6,1,12,2,0,8,57,15,6,0,7,24,10,6,14,0,0,0,354
