"CASES REPORTED UNDER IPC/BNS AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC/BNS CRIMES,,SLL CRIMES,
,,"During the month
under review
(February-2026)","During the current
Year Upto the month
under review","During the month
under review
(February -2026)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2893,5742,1631,3780
2,Mysuru City,187,360,65,192
3,Hubballi Dharwad City,157,305,68,127
4,Mangaluru City,192,381,113,196
5,Belagavi City,119,277,90,163
6,Kalaburagi City,124,352,69,157
,Central Range,,,,
1,Bengaluru Dist,410,817,52,144
2,Bengaluru South,282,559,68,141
3,Tumakuru,500 976,,131,289
4,Kolar,177,374,46,83
5,Chickballapura,170,372,119,248
6,K.G.F,58,118,34,60
,Eastern Range,,,,
1,Chitradurga,305,661,149,254
2,Davanagere,261,539,120,296
3,Shivamogga,401,807,156,331
4,Haveri,189,395,65,125
,Western Range,,,,
1,Dakshina Kannada,172,335,41,78
2,Udupi,161,352,43,91
3,Chikkamagaluru,222,469,141,224
4,Uttara Kannada,204,424,104,282
,Northern Range,,,,
1,Belagavi Dist,702,1428,244,479
2,Bagalkot,199,386,89,182
3,Vijayapur,262,515,89,225
4,Dharwad,111,203,56,92
5,Gadag,99,194,73,191
,North Eastern Range,,,,
1,Kalaburagi,200,434,48,113
2,Bidar,229,446,145,211
3,Yadgir,134,284,107,193
,Southern Range,,,,
1,Mysuru Dist,395,848,160,243
2,Mandya,462,881,187,307
3,Chamarajanagar,171,337,44,96
4,Hassan,355,758,152,322
5,Kodagu,157,305,64,190
,Ballari Range,,,,
1,Ballari,233,388,88,214
2,Koppal,143,299,131,231
3,Raichur,238,504,232,433
4,Vijayanagara,127,276,71,216
,Karnataka Railways,35,62,19,35
,STATE,11436,23163,5304,11234
