"Comparitive Crime Statement 17 for the Years 2021, 2022, and 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023 As on 31/03/2023,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-III (SLL Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arms Act,366,4,1,361,0,4,8,0,327,14,7,1,0,272,5,3,264,0,0,0,0,174,89,0,1,0,67,0,0,67,0,0,0,0,9,58,0,0,
Cow Slaughter,541,4,1,536,0,18,4,0,482,15,14,1,2,406,2,1,403,0,5,0,1,250,137,8,2,0,75,0,0,75,0,0,0,0,0,75,0,0,
Animal Sacrifice Act,311,11,4,296,0,18,2,2,245,8,19,1,1,462,13,2,447,0,8,1,1,271,147,18,1,0,95,1,0,94,0,1,0,0,8,85,0,0,
P.I.T Act,232,2,0,230,0,1,2,0,219,7,0,1,0,241,1,0,240,0,3,0,0,175,61,1,0,0,50,0,0,50,0,0,0,0,6,44,0,0,
POCSO,2867,37,88,2742,0,46,541,2,2113,16,4,3,17,3143,36,94,3013,0,15,144,2,2651,181,5,7,8,687,0,22,665,0,0,0,0,136,528,0,1,
K.P Act,336,5,0,331,0,123,3,0,199,2,1,2,1,460,2,0,458,0,86,2,2,294,65,2,6,1,410,1,0,409,0,4,0,0,35,369,0,1,
E.C Act,472,18,2,452,0,0,2,0,394,55,0,1,0,810,6,3,801,0,0,0,0,397,397,2,5,0,112,0,1,111,0,0,0,0,8,103,0,0,
SC/ST/Act,1750,294,48,1408,2,3,89,3,1256,43,5,8,1,2141,205,113,1823,0,0,13,1,1353,450,0,5,1,459,3,5,451,0,0,0,0,41,409,0,1,
Explosive Act,183,19,0,164,0,11,1,1,110,20,18,2,1,61,0,1,60,0,1,0,0,12,44,3,0,0,8,0,0,8,0,0,0,0,0,8,0,0,
N.D.P.S AcT,5789,5,0,5784,0,1523,38,50,4071,51,4,38,9,6406,12,5,6389,0,1386,17,57,4408,492,5,23,1,1463,0,0,1463,0,64,0,1,507,891,0,0,
TADA Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PCR Act,2,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,1,2,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,
R.P.Act,37,4,2,31,0,3,0,0,16,7,5,0,0,6,2,0,4,0,0,0,0,2,2,0,0,0,9,0,0,9,0,0,0,0,0,9,0,0,
Children Act,399,43,25,331,0,13,9,1,286,18,1,3,0,357,24,13,320,0,9,2,0,193,114,1,1,0,48,0,2,46,0,0,0,0,3,43,0,0,
Sati Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cinema Autography Act,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gambling Act,14081,2,2,14077,0,7367,120,72,6410,33,2,62,11,13044,1,0,13043,0,4172,30,45,8263,504,0,25,4,3038,0,0,3038,0,131,1,4,1082,1820,0,0,
Excise Act,7523,1,0,7522,0,2706,170,86,4486,23,6,19,26,8865,0,0,8865,0,2807,65,56,5396,483,0,45,13,3221,0,0,3221,0,126,1,1,555,2538,0,0,
D.P Act,1872,124,82,1666,0,0,92,14,1444,94,1,20,1,2225,111,53,2061,0,0,18,7,1235,791,0,10,0,471,0,6,465,0,0,0,0,15,450,0,0,
Other Special and Local Laws,13022,212,31,12779,0,1664,83,2016,2991,1398,4547,69,11,14479,135,15,14329,0,208,9,1003,1632,8294,3170,11,2,4951,3,2,4946,0,0,0,4,95,4846,1,0,
Sub Total - PART-III,49783,787,286,48710,2,13500,1164,2247,25049,1804,4634,231,81,53383,557,303,52523,0,8700,301,1175,26707,12253,3215,142,30,15166,8,38,15120,0,326,2,10,2500,12278,1,3,
PART-IV (Cr.PC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107 Cr.p.C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
109 Cr.p.c,2,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110 Cr.P.C,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
145 CR.P.C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151 CR.p.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
41(1)(d) 102 Cr.P.C,84,3,9,72,0,6,0,6,33,3,0,24,0,83,2,15,66,0,3,0,2,29,19,0,12,1,9,0,2,7,0,0,0,0,0,7,0,0,
Other Cr.P.C,8,0,1,7,0,2,0,0,3,1,0,1,0,4,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sub Total - PART-IV,95,3,10,82,0,9,0,6,37,4,0,25,0,89,3,16,70,0,4,0,2,32,19,0,12,1,10,0,2,8,0,0,0,0,0,8,0,0,
Grand Total,163903,8694,996,154216,8,32783,4264,4898,84880,5857,19545,626,1362,180860,7189,1105,172567,3,20982,1068,2679,84957,47830,13812,387,851,48717,289,128,48300,0,890,5,24,5369,41957,30,10,
PART-V (Missing Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,UI,Tra,Untra,,,,,,,Rep,Fal,Tr,Tru,UI,Tra,Untra,,,,,,,Rep,Fal,Tr,Tru,UI,Tra,Untra,,,,,,
Missing Person,15158,180,15,14961,763,13767,431,,,,,,,17697,150,23,17523,2207,15298,18,,,,,,,4504,23,2,4479,1808,2671,0,,,,,,
PART-VI (PAR Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,UI,OD,BO,,,,,,,Rep,Fal,Tr,Tru,UI,OD,BO,,,,,,,Rep,Fal,Tr,Tru,UI,OD,BO,,,,,,
PAR (Cr.PC),22159,0,0,22159,8870,295,12994,,,,,,,41376,0,0,41376,18775,407,22194,,,,,,,23529,0,0,23529,16229,55,7245,,,,,,
