Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,"CYBER CRIME (INFORMATION TECHNOLOGY
ACT)",,,,
,"Information Technology Act 2000, 2009",37,1862,13,13
,CSAM (Child Pornography). Cyber Tip Line,11,1,6,5
,Online Money Transfer,322,10,95,117
,Credit Card Fraud,198,6,48,64
,Loan App,59,3,21,16
,"Ransomeware Attack, Installing Spyware &
Troman, Using Other Malware & Viruses to infect
degital serv",2,0,0,2
,"Gifts, iPhone & Lottery Fraud",42,0,15,20
,Deep Fake/Deep Nudes,10,0,2,5
,"Investment Fraud (Part Time Job, Task, Review)",791,13,242,278
,Card Skimming,4,0,2,2
,Job Fraud,155,5,67,53
,Business Fraud,36,2,8,10
,Hacking of Accounts & Ids,41,3,11,17
,Phishing (Taking Password & Information),14,0,0,8
,Email Spoofing / Fraud,16,0,7,5
,SIM card Swapping / SIM Jacking / SIM Cloning,1,0,0,1
,"Social Media Cases
(Instagram/Facebook/Whatsapp/X /Telegram etc)",108,8,45,33
,"Crypto Currency, Bitcoin, etc.",35,0,12,15
,Remote Access Fraud (Any Desk/ Team Viewer),2,0,2,0
,OLX Fraud,55,0,14,24
,Data Theft,17,0,6,3
,Fedex,19,4,4,4
,"OTP Frauds (KYC Update, Apk Link)",188,3,47,67
,Matrimony Fraud,27,0,9,7
,Sextortion and Revenge Porn,27,0,4,14
,Advertising Frauds,11,1,2,3
,Investment Fraud (Trading & Share Trading),978,14,290,306
,Fake Customer Care,86,0,23,27
,ATM Fraud,8,0,3,0
,Digital Arrest,109,0,23,16
,AEPS (Aadhaar),0,2,0,0
,Others,424,40,153,119
,Sub Total,3833,1977,1174,1254
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,0,0,0,0
,Gang Rape,1,0,0,0
,Rape with Murder,3,1,2,1
,Rape,706,259,228,216
,Others,287,85,76,115
,Sub Total,997,345,306,332
38,Aadhar Act,,,,
,Offence by Company,0,0,0,0
,Impersonation,0,0,0,0
,Offence by Individual,1,0,0,1
,Sub Total,1,0,0,1
,Total (Item 1 to 36),14845,6066,4248,5994
