Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,2,Belagavi City,1
Hubli-Dharwad City,1,Kalaburgi City,1
Chamarajanagar District,1,Davanagere District,1
Shivamogga District,1,,
