Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Sub Total,438,47,51,51
6,"KIDNAPPING AND ABDUCTION (Sec.360, 361,
363 to 369 IPC)",,,,
,Missing - Boy,645,79,87,82
,Missing - Girl,1643,138,217,236
,For Ransom - of Children,5,2,0,1
,For Ransom - of Cildren for Begging,0,0,0,0
,For Ransom - of Women,4,3,0,1
,For Ransom - of Girls for Immoral Purpose,1,0,0,0
,For Ransom - of Others,45,2,8,10
,Procuration of Minor Girls - For Prostitution,0,0,0,0
,Procuration of Minor Girls - Importring of Girl,0,0,0,0
,Procuration of Minor Girls - For other Purpose,7,1,0,1
,Espionage,0,0,0,0
,Intent to Steal From Child,0,0,0,0
,Murder (Homicide),0,1,0,0
,Obtain Signature Forcibly,0,0,0,0
,Recovering Loan,1,1,1,0
,Settling any Disputes,10,1,0,2
,Unnatural Lust / Illicit Intercourse,1,0,0,1
,Wrongful Confinement,6,0,2,1
,For Exporting,0,0,0,0
,From Lawful Guardianship,1,1,0,0
,For Camel Racing Etc.,0,0,0,0
,To Compel For Marriage,15,1,2,1
,For Slavery,0,0,0,0
,For Stealing From its Person,0,0,0,0
,Others,422,39,60,53
,Sub Total,2806,269,377,389
7,DACOITY (Sec. 395 to 398 IPC ),,,,
,At ATM,0,0,0,0
,At Residential Premises,19,5,1,5
,On Highways,27,5,6,2
,In Trains,1,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,5,0,0,0
,On Other Roads,34,2,5,4
,In Other Places,47,2,5,9
,River & Sea,0,0,0,0
,Sub Total,133,14,17,20
7a,Preparation And Assembly for Dacoity,105,28,13,16
8,Robbery (Sec.392 to 394 IPC),,,,
,At ATM,0,0,0,0
,At Residential Premises,149,18,24,19
,On Highways,75,6,9,11
,In Trains,4,1,2,1
,At Banks,2,1,1,0
,At Commercial Places / Establishments,80,9,19,14
,In Other Places,577,62,95,66
,Chain Snatching,453,59,43,54
,Attempt to Commit,46,5,5,5
,Sub Total,1386,161,198,170
9,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,2013,200,252,217
,On Highways,2,1,1,0
,In Trains,0,0,0,0
,At Banks,39,6,7,3
,At Commercial Places / Establishments,668,76,113,85
,In Other Places,530,65,87,65
,Temple Theft,297,28,44,39
,Sub Total,3549,376,504,409
