S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSRP PTS BELAGAVI,18,16,2,
76,KSRP Training Munirabad,12,11,1,
77,PDMS Yelahanka,28,24,4,
78,PTC Gulbarga,37,26,11,
79,PTS Aimangala,18,17,1,
80,PTS Dharwad,19,17,2,
81,PTS Hassan,19,0,19,
82,PTS Kaduru,15,15,0,
83,PTS Mysuru,19,19,0,
84,PTS Thanisandra,19,0,19,
85,RFSL Ballari,4,3,1,
86,RFSL Belgaum,9,5,4,
87,RFSL Davanagere,8,8,0,
88,RFSL Gulbarga,8,1,7,
89,RFSL Hubballi,6,0,6,
90,RFSL Mangalore,12,4,8,
91,RFSL Mysore,9,0,9,
92,SCRB,49,49,0,
93,Southern Range,9,8,1,
94,Special Task Force,8,0,8,
95,State Wireless,81,80,1,
96,TTI Bangalore,5,4,1,
97,Western Range,2,1,1,
,Grand Total,12865,11075,1790,
