Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 7 2,831,1103,270,1495,1765
2,State Highways,260,622,882,274,1236,1510
3,Other Roads,3 55,1253,1608,360,1777,2137
,TOTAL,887,2706,3593,904,4508,5412
