S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSRP PTS BELAGAVI,18,14,4,
76,KSRP Training Munirabad,14,9,5,
77,PDMS Yelahanka,32,16,16,
78,PTC Gulbarga,45,0,45,
79,PTS Aimangala,18,2,16,
80,PTS Dharwad,19,11,8,
81,PTS Hassan,20,0,20,
82,PTS Kaduru,16,0,16,
83,PTS Mysuru,21,7,14,
84,PTS Thanisandra,22,0,22,
85,RFSL Ballari,7,3,4,
86,RFSL Belgaum,10,0,10,
87,RFSL Davanagere,9,5,4,
88,RFSL Gulbarga,7,0,7,
89,RFSL Hubballi,5,0,5,
90,RFSL Mangalore,12,1,11,
91,RFSL Mysore,8,2,6,
92,SCRB,42,21,21,
93,Southern Range,7,3,4,
94,Special Task Force,8,0,8,
95,State Wireless,81,26,55,
96,TTI Bangalore,6,2,4,
97,Western Range,3,1,2,
,Grand Total,13336,6775,6561,
