Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 0 9,914,1223,315,1734,2049
2,State Highways,249,613,862,253,1175,1428
3,Other Roads,3 67,1220,1587,362,1859,2221
,TOTAL,925,2747,3672,930,4768,5698
