Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,3,Shivamogga District,3
Kodagu District,2,Hubli-Dharwad City,1
Mangalore City,1,Mysore City,1
Bengaluru District,1,Davanagere District,1
Tumakuru District,1,Vijayanagara District,1
Vijayapura District,1,Chitradurga District,1
