Name of the unit,No. of cases,Name of the unit,No. of cases
Mangalore City,2,Bengaluru City,1
Bagalkot District,1,Belagavi District,1
Dakshina Kannada District,1,Davanagere District,1
Hassan District,1,Mysore District,1
Ramanagara District,1,Tumakuru District,1
Uttara Kannada District,1,Yadgiri District,1
