S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,206,114,92,
37,Vijayanagara,156,141,15,
38,Vijayapura,199,186,13,
39,Yadgir,163,114,49,
40,Forest Cell,39,28,11,
41,CID,230,24,206,
42,ISD Bengaluru,88,33,55,
43,State INT,757,193,564,
44,APTS Yelahanka,20,15,5,
45,Battalion I - Bangalore,63,60,3,
46,Battalion II - Belgaum,39,39,0,
47,Battalion III - Bangalore,60,60,0,
48,Battalion IV - Bangalore,55,52,3,
49,Battalion IX - Bangalore,45,45,0,
50,Battalion V - Mysore,43,42,1,
51,Battalion VI - Gulbarga,41,38,3,
52,Battalion VII - Mangalore,35,34,1,
53,Battalion VIII - Shimoga,39,39,0,
54,Battalion X - Haveri,43,41,2,
55,Battalion XI - Hassan,38,34,4,
56,Battalion XII Tumakuru,48,46,2,
57,Centre for Counter Terrorism,59,42,17,
58,Chief Office,130,0,130,
59,COMMANDANT MOUNTED,KARP 22,17,5,
60,DCRE Headquarters Bengalu,ru 37,2,35,
61,DCRE HQ PS Bengaluru,6,0,6,
62,Eastern Range,3,1,2,
63,FPB Unit,11,1,10,
64,FSL Madiwala,27,3,24,
65,I.R.B. Vijayapura,46,46,0,
66,IGP Railways,2,0,2,
67,IGP TRAINING,11,2,9,
68,IIIrd BN KSISF,40,6,34,
69,IInd BN KSISF,39,17,22,
70,IRB AVATHI,1,0,1,
71,IRB Munirabad,47,47,0,
72,ISD,176,126,50,
73,Ist BN KSISF,48,34,14,
74,Kalaburgi Range,9,0,9,
,,,,,
